8'射门!!!巴塞罗那球员哈维大禁区外右脚射门,被对方守门员横身扑出.                   8'第8分钟，哈维任意球直接射门被阿森霍没收
11'保利斯塔将球处理出底线,巴塞罗那获得角球.                   8'第8分钟，哈维任意球直接射门被阿森霍没收
11'比利亚雷亚尔佩尔贝受伤倒地,比赛暂停                   8'第8分钟，哈维任意球直接射门被阿森霍没收
47'比利亚雷亚尔球员约基奇一脚直塞球给佩雷拉,但是边裁举旗显示后者已经越位.                   46'1分钟后，佩德罗传球，梅西突入禁区边缘内低射被阿森霍用腿扫出
48'比利亚雷亚尔球员阿基诺一脚直塞球给佩雷拉,但是边裁举旗显示后者已经越位.                   46'1分钟后，佩德罗传球，梅西突入禁区边缘内低射被阿森霍用腿扫出
22'巴塞罗那球员伊涅斯塔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔维斯.                   22'第22分钟，阿尔维斯传球，伊涅斯塔禁区前射门仍然偏出
23'比利亚雷亚尔球员多斯桑托斯拼抢犯规,对手获得控球权.                   22'第22分钟，阿尔维斯传球，伊涅斯塔禁区前射门仍然偏出
23'巴尔特拉为巴塞罗那赢得一个任意球.                   22'第22分钟，阿尔维斯传球，伊涅斯塔禁区前射门仍然偏出
24'比利亚雷亚尔球员佩雷拉大禁区右侧右脚射门,被防守球员封堵.给他传球的是卡尼.                   22'第22分钟，阿尔维斯传球，伊涅斯塔禁区前射门仍然偏出
24'巴尔特拉将球处理出底线,比利亚雷亚尔获得角球.                   22'第22分钟，阿尔维斯传球，伊涅斯塔禁区前射门仍然偏出
44'比利亚雷亚尔球员阿基诺大禁区中央右脚射门,被防守球员封堵.给他传球的是多斯桑托斯.                   44'比利亚雷亚尔第44分钟险些破门，热奥瓦尼突入禁区左侧传中，替补出场的阿基诺12码处推射空门，但巴尔特拉关键时刻及时封堵解围
45'+1'进球啦！！！比利亚雷亚尔球员卡尼大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是佩雷拉. 比利亚雷亚尔 1-0 巴塞罗那.                   44'比利亚雷亚尔第44分钟险些破门，热奥瓦尼突入禁区左侧传中，替补出场的阿基诺12码处推射空门，但巴尔特拉关键时刻及时封堵解围
45'+2'上半场结束,比利亚雷亚尔 1-0 巴塞罗那,稍事休息,我们一会来看看下半场两队的表现.                   44'比利亚雷亚尔第44分钟险些破门，热奥瓦尼突入禁区左侧传中，替补出场的阿基诺12码处推射空门，但巴尔特拉关键时刻及时封堵解围
47'比利亚雷亚尔球员约基奇一脚直塞球给佩雷拉,但是边裁举旗显示后者已经越位.                   44'比利亚雷亚尔第44分钟险些破门，热奥瓦尼突入禁区左侧传中，替补出场的阿基诺12码处推射空门，但巴尔特拉关键时刻及时封堵解围
50'保利斯塔将球处理出底线,巴塞罗那获得角球.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
50'巴塞罗那球员桑切斯被主裁判出示了一张黄牌.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
51'射门!!!巴塞罗那球员梅西大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是伊涅斯塔.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
52'佩雷拉为比利亚雷亚尔赢得一个任意球.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
52'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
