1'上半场比赛开始！                   1'双方第1分钟都试图在边路打开缺口
1'上半场由阿森纳率先中圈开球                   1'双方第1分钟都试图在边路打开缺口
1'阿森纳今天身穿黄衣黑裤，利物浦是一身红色战袍                   1'双方第1分钟都试图在边路打开缺口
1'米尔纳交给马蒂普                   1'双方第1分钟都试图在边路打开缺口
1'分右路的克莱因                   1'双方第1分钟都试图在边路打开缺口
2'直传，科斯切尔尼上抢解围                   1'双方第1分钟都试图在边路打开缺口
2'利物浦后场控球                   1'双方第1分钟都试图在边路打开缺口
2'克莱因右路直传，拉拉纳接应转身                   1'双方第1分钟都试图在边路打开缺口
3'挑传给大了                   1'双方第1分钟都试图在边路打开缺口
3'切赫将球没收                   1'双方第1分钟都试图在边路打开缺口
3'切赫开大脚上来，马内回传                   1'双方第1分钟都试图在边路打开缺口
3'米尔纳斜长传右路                   1'双方第1分钟都试图在边路打开缺口
3'马内回给拉拉纳，传中被穆斯塔菲头球解围                   1'双方第1分钟都试图在边路打开缺口
3'阿森纳反击                   1'双方第1分钟都试图在边路打开缺口
4'张伯伦分右路，贝莱林插上下底传中                   1'双方第1分钟都试图在边路打开缺口
4'马蒂普头球顶出底线                   1'双方第1分钟都试图在边路打开缺口
4'阿森纳左路的角球机会                   1'双方第1分钟都试图在边路打开缺口
4'张伯伦发出角球被马蒂普顶出                   1'双方第1分钟都试图在边路打开缺口
40'菲尔米诺漂亮的横传禁区右侧，马内停球后大力低射，球进了！                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
40'马内这一侧是完全无人看防                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
40'利物浦在强强对话时就是硬                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
41'米尔纳再放长传，穆斯塔菲卡住马内将球让出底线                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
42'维尔贝克前场护球，回传被菲尔米诺断下                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
42'直传，库蒂尼奥分给维纳尔杜姆                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
42'再直传，拉拉纳得球再传，库蒂尼奥交越来越少 碰出底线                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
43'贝莱林起球传中，维尔贝克争顶时被米尼奥莱撞倒                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
43'维尔贝克没有大碍                   40'利物浦第40分钟扩大比分，米尔纳、维纳尔杜姆和菲尔米诺连续横传，马内禁区右侧12码处劲射远角入网，2-0
48'上半场比赛结束！                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'凭借马内的一传一射，暂时2：0领先阿森纳进入中场休息                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'还是利物浦后场控球                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'米尼奥莱观察了很久                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'长传上来，菲尔米诺头球跟一下                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'被断球                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
48'桑切斯直传，维尔贝克分左侧的蒙雷亚尔                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
49'蒙雷亚尔弧线球传中，吉鲁头球攻门，米尼奥莱将球挡一下，第二反应将球拿住                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
49'桑切斯的上场还是起作用                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
50'穆斯塔菲长传上来，克拉万将球破坏                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
51'马内右路来了，内切横敲                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
51'菲尔米诺漂亮地背身将球往前一勾                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
51'再转身打门被穆斯塔菲飞身堵枪眼                   48'第48分钟，蒙雷亚尔左路传中，吉鲁头球攻门被米尼奥莱救出
57'桑切斯左路的突进直传                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
57'维尔贝克很快呀，插上抢在米尼奥莱下扑之前打门，米尼奥莱用脚挡了一下球，但球还是钻入网内！                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
57'阿森纳将比分扳成1：2                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
58'比赛悬念又回来了                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
59'米尼奥莱长传上来，科斯切尔尼将球顶到中场                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
59'马内背身转身，斜塞                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
60'库蒂尼奥倒地横扫门前，穆斯塔菲将球铲出底线                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
60'库蒂尼奥发角球，菲尔米诺打倒钩                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
60'打空了                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
60'桑切斯来了，埃姆雷詹拉人犯规                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
60'桑切斯想快发，埃姆雷詹阻止对方快发                   57'阿森纳第57分钟扳回一城，桑切斯直传，维尔贝克小禁区左上角外射门越过出击的米尼奥莱入近角，1-2
82'蒙雷亚尔交给扎卡                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
82'迂回到贝莱林脚下                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
82'直传，沃尔科特停球后被米尔纳抢断                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
82'埃姆雷詹长传前场左路                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
82'奥里吉的护球，穆斯塔菲犯规                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
83'米尔纳的传中，奥里吉甩头攻门，球击中了立柱                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
84'还是利物浦角球                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
84'米尔纳发到门前，奥里吉再次头球攻门顶偏了                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
85'贝莱林右路的传中，卢卡斯头球没有顶着，却用后背碰出底线                   82'第82分钟，米尔纳左路任意球传中，刚刚换下库蒂尼奥的奥里吉头球攻门击中右侧立柱弹回
