1'上半场比赛开始！！！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
1'阿森纳从左向右进攻！！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
1'贡多齐右路拿球强突，被破坏出边线！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
2'纽卡后场抢断，长传前场右路找佩雷斯                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
2'蒙雷亚尔回防，身后掀翻了佩雷斯，犯规！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
2'纽卡获得了前场右路的任意球机会！！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
3'任意球斜传到后点，费尔南德斯头球摆渡到门前                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
3'切赫出击，稳稳将球拿到！！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
3'贡多齐右路拿球强突，何塞鲁的回防                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
3'贡多齐转身回传后场给到穆斯塔菲                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
4'穆斯塔菲再给左中场找拉姆塞，被破坏                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
20'被达米特抢先一脚，解围出底线！！！                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
20'阿森纳获得了左侧角球机会！！                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
20'厄齐尔主罚，开出到前点，帕帕头球后蹭                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
20'贝莱林控制，回传贡多齐                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
20'面对逼抢，带回后场，再给切赫                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
20'分球左侧蒙雷亚尔，佩雷斯的上抢犯规！                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
21'穆斯塔菲后场解围失误，自己滑倒了，墨菲的抢断                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
21'墨菲拿球反击，帕帕赶紧补防                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
21'禁区内抢先一脚，将球捅出了底线                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
21'纽卡的左侧角球机会！！                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
22'拉舍莱斯的角球开出到禁区                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
22'混战中，被解围                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
22'耶德林外围拿球，再传门前                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
22'海登的头球摆渡到中路，切赫出击双拳打出！！                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
23'穆斯塔菲后场拿球，横传帕帕                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
23'再给左侧的蒙雷亚尔，给到扎卡                   20'第20分钟，穆斯塔菲后场试图解围高球时滑倒，墨菲拿球突入禁区左侧幸亏帕帕斯塔索普洛斯及时补防化解险情
49'奥巴梅杨背身拿球，被费尔南德斯从身后踢倒                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
49'纽卡获得了前场中路的任意球机会！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
49'不好意思，是阿森纳！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
49'扎卡和托雷拉站在球前！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
49'球进了！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
49'扎卡，百步穿杨！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
50'扎卡任意球直接轰门，越过人墙，贴着横梁下檐，钻进球门右上角！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
50'这是阿森纳本场第一次命中门框范围内，就进球了                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
51'拉姆塞中场接应蒙雷亚尔的传球                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
51'手球违例，纽卡的球权！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
51'本赛季开始至今，阿森纳已经有9名球员取得进球！！                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
52'拉姆塞中场拿球，回传托雷拉                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
52'再给扎卡，带至后场，回敲帕帕                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
52'再给切赫，分球右侧穆斯塔菲                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
52'带球到中线，长传球找奥巴梅杨                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
52'奥巴梅杨没能停好，被防守球员破坏                   49'阿森纳第49分钟打破僵局，扎卡25码处任意球直接射入右上角
