1'首先开球的是尤文图斯                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
1'尤文中场转移给到边路                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
2'桑普多利亚前场断球                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
2'右路带球到了禁区角上                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
2'阿尔瓦雷斯打远射被门将扑了出去                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
2'桑普多利亚开场后有些反客为主的意思                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
2'桑普多利亚前场拿球                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
3'科雷亚前场拿球被侵犯                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
3'桑普多利亚任意球送禁区内                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
3'博努奇头球将球解围                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
3'科雷亚前场拿球，转移                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
3'尤文中场附近断球下来                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
4'利希施泰纳右路拿球给到底线                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
4'队友将球回敲回来                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
4'迪巴拉带球到底线                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
4'脚底出现了打滑                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
14'利希施泰纳边路上抢撞人犯规                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
14'尤文前场送直塞                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
14'曼朱基齐带球到了禁区                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
14'打门的时候被对方后卫铲倒了！！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
14'点球！！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
15'什克里尼亚尔被直接出示了红牌！！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
15'开场仅仅15分钟啊                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
15'迪巴拉来主罚                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
15'迪巴拉推射右下角，布里格诺利判断对了方向，但是角度太刁钻！！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
16'2-0！！！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
16'比赛是不是将进入到垃圾时间？                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
16'现在的情况是，尤文主场且多打一人，并且2球领先！                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
17'迪巴拉前场拿球给到右路                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
17'尤文左路挑传                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
17'队友头球摆渡没有过顶                   14'桑普第14分钟又遭打击，迪巴拉直传，曼朱基奇反越位突入禁区，斯克里尼亚尔背后下铲，被直接红牌罚下
31'上半场打了30分钟，比分上是尤文2-0                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
31'场上尤文是以多打少                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
31'博格巴右路起球传到远端                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
32'埃弗拉想做球到中路                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
32'没有传过去                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
32'尤文，立柱！！                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
32'尤文禁区内挑传                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
32'利希施泰纳头球攻门被横梁拒绝！！                   31'第31分钟，佩雷拉左路回传禁区，迪巴拉没有射门而是挑传，利希施泰纳在门前5米处头球一蹭击中横梁
49'博格巴这边反击的机会                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
49'禁区前沿被对方干扰没有形成绝对的打门的机会                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
49'但还是赢得一个角球机会                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
49'战术角球开出                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
50'尤文传到禁区内，威胁不大                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
50'迪巴拉拿球将球给到边路                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
50'桑普多利亚这边上抢将球断了                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
51'迪巴拉这边回防的时候推人                   49'4分钟后，博格巴左路距门40米处突然吊门蹭横梁上沿而出
77'4-0！！！                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
