2'邱盛炯后场大脚，恩里克斜传左路                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
2'曹赟定左路倒三角回敲禁区前                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
2'恩里克禁区前人球分过，远射被扑出！                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
3'申花右侧的角球机会                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
3'角球进禁区被头球解围                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
3'巴雷右路人球分过横敲禁区前                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
4'徐亮回防过程中铲倒了胡人天犯规                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
4'泰达禁区前靠右的任意球机会                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
4'杜震宇任意球直接射门打高                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
5'曹赟定左路插上，被卡住了位置                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
8'杜震宇左路传中，被范凌江解围，角球                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
8'角球去前点被莫雷诺头球顶出去                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
8'李本舰右路回防，停球出界了                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
9'姜坤左路下底，李本舰手球了                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
9'裁判黄牌警告了李本舰                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
9'徐亮任意球低平球敲点球点附近，被解围                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
10'恩里克右边路拿球被破坏出边线                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
11'安德烈齐尼奥左路拿球推进，横敲                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
11'安德烈齐尼奥被围抢，球丢了                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
11'巴雷拿球回敲，杜震宇跟上远射被封堵出界                   8'第8分钟，姜坤左路下底突破造成李本舰手球，李本舰吃到黄牌
15'巴雷头球摆渡，越位在先                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
15'刘嘉伟右路助攻，下底被断球                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
16'姜坤禁区前搓传过顶到门前，被门将没收                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
17'姜坤中场接应，回敲                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
17'刘嘉伟右路拿球被绊倒                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
18'曹赟定禁区前拿球远射被破坏                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
18'申花右侧的角球机会                   15'第15分钟，姜坤挑传禁区，曹阳卡住卢卡斯身位，杨启鹏将球得到后曹阳痛苦倒地似乎受了肩伤，但主裁判并未表示
23'曹赟定前场拿球，送身后没有找到队友                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
23'杜震宇左路拿球回敲                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
23'泰达进球了！！！                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
24'安德烈齐尼奥！！！‘                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
24'杜震宇左路底线前停球回敲，禁区前安德烈齐尼奥搓射远角入网！                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
24'绿地申花0-1落后泰达！                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
25'比亚特里和恩里克做配合，把球转移出去                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
25'刘嘉伟右路给身后，姜坤插上被曹阳拉倒                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
25'裁判口头警告了曹阳                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
25'申花进球了！！                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
25'越位在先！！！                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
26'姜坤任意球去后点，比亚特里头球攻门，门前的徐亮接力破门，但是徐亮越位了                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
26'进球无效                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
26'恩里克禁区内接应，被李玮峰解围                   23'第23分钟，杜震宇左边底线附近人球分过，随后回敲禁区前沿，烈鸟拿球后弧线球搓射，皮球精准地划过邱盛炯指尖钻进球门右上角
28'姜坤中路突破，二过一没有成功                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
28'刘嘉伟上抢，杜震宇绊人犯规了                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
28'裁判黄牌警告了杜震宇                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
29'任意球去门前，被门将双拳击出                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
30'恩里克禁区前晃动，被破坏                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
30'胡人天右路插上到禁区内，角度太小了                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
31'莫雷诺中路拿球，趟大了                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
31'曹阳中场拼抢倒地了，被抬下治疗                   28'第28分钟，刘嘉伟后插上抢断杜震宇，被后者踢中脚后跟摔倒，杜震宇吃到黄牌
33'杜震宇左路传中，滑门而过                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
34'莫雷诺背身拿球被绊倒                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
34'右路刘嘉伟下底传中被挡出，角球                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
35'姜坤角球去门前被头球解围                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
35'外围申花再垫传进去，被门将没收                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
35'泰达又进球了！！！                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
35'巴雷！！！                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
36'巴雷禁区前接应队友横敲，趟开角度进禁区，推远角破门！                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
36'绿地申花0-2落后泰达！                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
36'杜震宇左路拿球，横敲禁区前被解围                   33'第33分钟，莫雷诺左路控球被断，泰达队连续传球发动反击，杜震宇左路低平球横传门前，但巴雷和胡人天两人都没有抢到落点
38'泰达右路进禁区，杜震宇抢点打高了                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
39'刘嘉伟右路防守，断了杜震宇的球                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
39'曹赟定左路的横敲，传丢了                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
39'巴雷接应直塞，没有赶上                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
40'范凌江左路助攻，人球分过没有过去                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
41'王寿挺补防右路，铲倒了安德烈齐尼奥                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
41'裁判黄牌警告了王寿挺                   38'第38分钟，泰达队卷土重来，烈鸟直塞，胡人天禁区内横敲，巴雷停球后射门被挡，杜震宇插上补射打高
42'泰达左路任意球去门前，被邱盛炯拿到                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
42'恩里克拿球横走，送身后大了，曹赟定插上                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
43'杨启鹏想把球让出去，曹赟定追上小角度打门中边网                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
43'绿地申花进攻再来                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
43'莫雷诺进球了！！！                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
44'曹赟定传中，曹阳头球解围不远，莫雷诺禁区前跟上凌空抽射破门！世界波！                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
44'绿地申花1-2落后泰达                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
44'上半场补时1分钟！                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
45'胡人天右路防守，卡住了范凌江的位置                   42'第42分钟，曹S定直插禁区，边裁没有示意越位，但杨启鹏有些放松，曹S定在底线附近追到皮球勾射空门，可惜打在边网上
48'泰达左路传入禁区，被邱盛炯拿到                   48'第48分钟，胡人天横敲中路，烈鸟脚弓推射被邱盛炯得到
50'恩里克接应直塞进禁区，被关门了                   48'第48分钟，胡人天横敲中路，烈鸟脚弓推射被邱盛炯得到
50'莫雷诺中场长传，恩里克越位在先                   48'第48分钟，胡人天横敲中路，烈鸟脚弓推射被邱盛炯得到
51'泰达斜传左路，刘嘉伟上抢                   48'第48分钟，胡人天横敲中路，烈鸟脚弓推射被邱盛炯得到
51'刘嘉伟右路助攻，还是越位在先                   48'第48分钟，胡人天横敲中路，烈鸟脚弓推射被邱盛炯得到
56'莫雷诺中场穿裆过人，李本舰犯规                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
56'绿地申花换人，姜坤被战怡麟换下                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
56'申花长传进禁区，杨启鹏出击把球没收                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
57'恩里克插上争抢没收脚，踢到了杨启鹏                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
57'裁判黄牌警告了恩里克                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
58'恩里克中场直塞，传丢了                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
59'比亚特里右路回敲，被破坏                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
59'白岳峰中场拿球往右路送身后                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
59'巴雷插上禁区内抽射打高！                   56'第56分钟，卢卡斯头球摆渡，杨启鹏出击拿球被恩里克撞中膝盖，后者吃到黄牌
60'莫雷诺斜传左路，曹赟定斜射被门将扑住                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
60'安德烈齐尼奥中场拿球，转移右路                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
61'巴雷禁区前拿球，远射打偏！                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
61'泰达换人，李本舰被郭皓换下                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
62'曹赟定左路下底传中                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
63'比亚特里鱼跃冲顶被杨启鹏扑出！                   60'第60分钟，莫雷诺假射真传敲到左路，曹S定在上半场烈鸟同样位置射门，杨启鹏脱手但他随后再次起身将球扑住
62'曹赟定左路下底传中                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
63'比亚特里鱼跃冲顶被杨启鹏扑出！                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
64'范凌江左路下底被破坏，角球                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
64'角球开出，高度不够被解围                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
64'绿地申花进球了！！！                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
64'恩里克！捡漏！                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
65'范凌江左路传中，前点的周海滨让球想给门将，门将也漏过了，后点恩里克推空门！                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
