3'上轮比赛，拉赫曼-巴巴因为重大失误很早被换下，换上的就是肯尼迪                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
3'今天他获得首发机会，40秒钟不及就进球，对于他来说是何等美妙                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
4'诺维奇的进攻，右边路传中，杰罗姆抢点没有碰到球                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
4'值得一提的是肯尼迪本来就是一名前锋                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
5'科斯塔的推进被马丁拉倒                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
5'肯尼迪带球上来，阿扎尔接应                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
5'阿扎尔下底倒三角传中后倒地，裁判没有吹                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
5'法布雷加斯右肋部直传，特泰急停往外分                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
6'阿斯皮利奎塔传中，科斯塔点球点附近停球再分                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
6'阿扎尔禁区左犄角得球挑传，球直接出了底线                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
6'马蒂奇送右路，阿斯皮利奎塔回做，马蒂奇停大了                   3'3分钟后，霍拉汉传中，拉塞尔-马丁摆渡，但杰罗姆小禁区边缘再次错过机会
68'诺维奇扳回一球！                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
68'雷蒙德！！！                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
69'霍拉罕左路斜塞，雷蒙德斜插上禁区右侧小角度爆射球进！                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
69'此时此刻值得来杯嘉士伯！                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
69'切尔西换人，6号拉赫曼-巴巴换下了16号肯尼迪                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
69'比赛的悬念重起                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
70'更正一下，诺维奇换上的不是穆伦布而是姆博卡尼                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
70'霍拉罕右路带球直传，雷蒙德越位                   68'诺维奇第68分钟扳回一城，霍拉汉直传，雷蒙德禁区右肋10码处抢在伊万诺维奇铲堵前劲射破门，1-2
