1'上半场比赛开始！！                   1'巴萨第1分钟控制比赛，但并未创造得分机会
1'首先开球的是赫塔菲                   1'巴萨第1分钟控制比赛，但并未创造得分机会
2'赫塔菲一开场连续两次越位                   1'巴萨第1分钟控制比赛，但并未创造得分机会
2'这次是恩迪亚耶                   1'巴萨第1分钟控制比赛，但并未创造得分机会
2'巴萨后场控球                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'给球到边路                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'赫塔菲这边上抢的很凶啊                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'巴萨左路拿球                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'阿尔巴助攻到前场                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'巴萨这边大范围转移                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'没什么机会将球回敲                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'巴萨左路送直塞到禁区                   1'巴萨第1分钟控制比赛，但并未创造得分机会
3'赫塔菲这边先将球破坏                   1'巴萨第1分钟控制比赛，但并未创造得分机会
4'巴萨拿球给到中场                   1'巴萨第1分钟控制比赛，但并未创造得分机会
4'撞墙配合到了边路被破坏                   1'巴萨第1分钟控制比赛，但并未创造得分机会
91'登贝莱右路强突底线                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'下底传中                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'苏亚雷斯的攻门被瓜伊塔托出底线                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'巴萨的角球                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'角球开出来                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'威胁不大啊                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
91'补时已经过去了1分钟                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
92'苏亚雷斯前场断球下来                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
92'巴萨左路起球送禁区                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
92'裁判这边吹了攻方犯规                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
92'赫塔菲这边场上队长抽筋了                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
92'赫塔菲今天的球员也是非常的不容易                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'瓜伊塔这边得到一张黄牌                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'拖延时间                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'米纳这边防守中犯规                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'米纳得到一张黄牌！                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'起跳的时候手上有动作                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
93'赫塔菲获得了机会                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
94'任意球选择了直接打门                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
94'特尔施特根将球托出横梁                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
94'蹭了一下                   91'巴萨第91分钟险些破门，登贝莱右路传中，苏亚雷斯10码处头球攻门被瓜伊塔托出横梁
