10'辽宁队走右路的进攻，曹秉局先要住身位                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
10'王皓上抢推人了                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
10'另一片场地上，鲁能1-0领先恒大了                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
11'战怡麟中场拉球转身，被胡延强绊倒                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
11'徐亮右路起左脚传中，被封堵                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
11'莫雷诺中路拿球，远射打偏！                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
12'战怡麟禁区前争高球落点，转身推进被绊倒，任意球                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
12'王皓的犯规，申花队位置不错的任意球                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
13'徐亮任意球低射打在人墙上弹出                   10'第10分钟莫雷诺禁区外左脚搓射擦柱而出
18'比亚特里前场处于越位位置                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
18'莫雷诺禁区内接应队友直塞，推射近角太正了，被门将扑住                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
19'范凌江左路底线前解围不远                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
19'丘卡拿球下底传中被邱盛炯没收                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
20'许万权左路顶防，头球解围出边线                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
20'莫雷诺接应比亚特里垫传，越位了                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
21'辽宁队长传，刘嘉伟头球回点门将                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
21'战怡麟禁区前横带，趟开角度远射被封堵                   18'第18分钟申花前场拦截成功后两脚传递就给到禁区线附近埋伏的莫雷诺，可惜哥伦比亚人面对石笑天打门力量过轻
29'双方中场连续争高球                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
29'王亮左路内切进来，禁区前的远射打高                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
30'战怡麟左路横传，米切尔先出脚解围                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
31'王皓拿球，回给门将                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
31'战怡麟拿球摆脱包夹，被绊倒了                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
32'陈柏良右路背身拿球，被许万权绊倒                   29'第29分钟辽宁队快攻到前场，王亮左路内切到中路射门高出
39'辽宁队又有队员受伤倒地                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
40'倪玉崧下去接受治疗                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
40'莫雷诺左路横扫门前被解围                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
41'辽宁队换人，张靖洋换下倪玉崧                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
41'倪玉崧受伤无法坚持了                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
41'恒大那边1-1扳平了比分                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
42'王亮斜传禁区前，推射被挡出，角球                   39'第39分钟倪玉崧中圈附近被撞倒在地无法起身，担架队出场将其抬出，张靖将其换下
44'比亚特里右路拿球被孙世林放倒                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
45'孙世林和比亚特里有口角                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
45'裁判给孙世林和比亚特里一人一张黄牌                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
45'上半场已经进入了补时阶段                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
46'宋琛护球被绊倒                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
46'上半场比赛结束！                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
46'下半场比赛开始！                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
46'绿地申花中圈开球                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
46'申花半场换人，姜坤出场了                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
47'绿地申花进球了！！！                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
47'乌龙！！！                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
47'陈柏良接应直塞进禁区，抽射中横梁弹下，王皓收腿不及，把球撞入自家球门                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
47'1-1！                   44'第44分钟孙世林拦截比亚特里犯规吃到黄牌
