7'佛罗伦萨球员托莫维奇拼抢犯规,对手获得控球权.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
7'A-科尔为罗马在左路,赢得一个任意球.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
7'罗马球员德罗西大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是托蒂.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
9'佛罗伦萨球员巴尔加斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴巴卡尔.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
10'佛罗伦萨球员巴巴卡尔拼抢犯规,对手获得控球权.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
10'马诺拉斯为罗马在右路,赢得一个任意球.                   7'开场7分钟，托蒂开出任意球，德罗西抽射偏出
23'佛罗伦萨球员萨维奇拼抢犯规,对手获得控球权.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
23'Juan Iturbe为罗马在对方半场,赢得一个任意球.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
23'佛罗伦萨球员萨维奇被主裁判出示了一张黄牌.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
23'佛罗伦萨球员冈萨洛被主裁判出示了一张黄牌.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
23'罗马球员托蒂被主裁判出示了一张黄牌.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
25'罗马球员Juan Iturbe大禁区外尝试左脚射门,可惜皮球高出球门.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
25'马科斯-阿隆索为佛罗伦萨赢得一个任意球.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
25'罗马球员Juan Iturbe拼抢犯规,对手获得控球权.                   22'第22分钟，皮亚尼奇直传，托蒂凌空射门，但脚下打滑没踢上
28'射门!!!罗马球员热尔维尼奥大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是纳因戈兰.                   28'第28分钟，纳英戈兰中场断球突进直塞，热尔维尼奥禁区左侧距门8米处左脚抽射被内托封出，纳英戈兰凌空补射入右下角，1比0
28'进球啦！！！罗马球员纳因戈兰大禁区中央右脚射门,球从右下角飞进球门,球进了! 罗马 1-0 佛罗伦萨.                   28'第28分钟，纳英戈兰中场断球突进直塞，热尔维尼奥禁区左侧距门8米处左脚抽射被内托封出，纳英戈兰凌空补射入右下角，1比0
30'罗马球员Juan Iturbe一脚直塞球给托罗西迪斯,但是边裁举旗显示后者已经越位.                   28'第28分钟，纳英戈兰中场断球突进直塞，热尔维尼奥禁区左侧距门8米处左脚抽射被内托封出，纳英戈兰凌空补射入右下角，1比0
31'佛罗伦萨球员皮萨罗拼抢犯规,对手获得控球权.                   28'第28分钟，纳英戈兰中场断球突进直塞，热尔维尼奥禁区左侧距门8米处左脚抽射被内托封出，纳英戈兰凌空补射入右下角，1比0
31'纳因戈兰为罗马在左路,赢得一个任意球.                   28'第28分钟，纳英戈兰中场断球突进直塞，热尔维尼奥禁区左侧距门8米处左脚抽射被内托封出，纳英戈兰凌空补射入右下角，1比0
59'射门!!!罗马球员热尔维尼奥大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
60'罗马球员Juan Iturbe大禁区左侧左脚射门,被防守球员封堵.给他传球的是纳因戈兰.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
60'皮萨罗为佛罗伦萨在对方半场,赢得一个任意球.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
60'罗马球员德罗西拼抢犯规,对手获得控球权.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
61'射门!!!佛罗伦萨球员伊利西奇大禁区外左脚射门,被对方守门员横身扑出.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
62'射门!!!佛罗伦萨球员巴巴卡尔大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是巴尔加斯.                   59'下半时开始14分钟，罗马几乎扩大比分，皮亚尼奇直传，热尔维尼奥禁区右侧射门被内托下意识封出
46'冈萨洛为佛罗伦萨赢得一个任意球.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
46'罗马球员托蒂拼抢犯规,对手获得控球权.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
47'射门!!!佛罗伦萨球员博尔加-巴雷罗大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊利西奇.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
48'佛罗伦萨球员萨维奇拼抢犯规,对手获得控球权.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
48'托蒂为罗马在对方半场,赢得一个任意球.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
49'罗马球员德罗西一脚直塞球给热尔维尼奥,但是边裁举旗显示后者已经越位.                   46'1分钟后，巴尔加斯传中，巴巴卡尔近射又被德桑克蒂斯化解，随即他被华金换下
48'佛罗伦萨球员萨维奇拼抢犯规,对手获得控球权.                   48'补时第3分钟，纳英戈兰中路直传，热尔维尼奥甩开防守，趟过门将内托，禁区右侧铲进空门，2比0
48'托蒂为罗马在对方半场,赢得一个任意球.                   48'补时第3分钟，纳英戈兰中路直传，热尔维尼奥甩开防守，趟过门将内托，禁区右侧铲进空门，2比0
49'罗马球员德罗西一脚直塞球给热尔维尼奥,但是边裁举旗显示后者已经越位.                   48'补时第3分钟，纳英戈兰中路直传，热尔维尼奥甩开防守，趟过门将内托，禁区右侧铲进空门，2比0
50'罗马球员纳因戈兰大禁区外右脚射门,被防守球员封堵.给他传球的是皮亚尼奇.                   48'补时第3分钟，纳英戈兰中路直传，热尔维尼奥甩开防守，趟过门将内托，禁区右侧铲进空门，2比0
