7'缺少了小白和哈维在中场的梳理，这几分钟巴萨打得很乱                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
7'特略~禁区前接到小法的直传，打门~放了高射炮                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
8'阿尔维斯回传球失误~                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
8'特略跟小法组织反抢~长传转移到右路                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
9'阿尔维斯插上慢了半拍~球出底线了                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
9'拉科右路传中，普约尔抢到了头球                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
10'桑切斯~停球被断                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
14'马斯切拉诺长传~~桑切斯跟比利亚的撞墙式配合没能撕破对方防线                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
15'小法反越位~~~                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
15'居然也放了高射炮                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
15'阿尔维斯的长传落点极佳~小法右脚顺过来之后左脚直接凌空抽射~没人防守之下居然打向了看台                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
16'特略~~~单刀机会被扑了一下                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
16'而阿德跟进的补射~~~也打偏了                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
17'刚才特略突然启动，接到了蒂亚戈的直塞~反越位面对门将，还想过人~                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
17'其实这球直接传中间的比利亚就什么都搞定了                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
