5'巴萨在对方禁区外围传递                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
5'伊涅斯塔拿球大意了，被后卫从身后捅走                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
6'奥萨苏纳打反击，边路位置阿尔维斯和队友合力把球抢了下来                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
6'之前桑切斯在禁区内有一脚攻门也是颇具威胁，不过打得太正被门将化解了                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
7'奥萨苏纳的球员在进攻中被吹了越位                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
7'场上有球员倒地受伤                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
8'慢动作来看，阿尔维斯上抢的时候撞倒了对方球员，不过问题不大                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
8'比赛继续进行                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
15'巴萨围攻对方禁区                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
15'特略打门~~~差了一点                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
15'特略禁区左上角假动作晃开角度，低射贴着立柱飞出底线                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
16'特球王自从处理球不那么独了之后发觉还是挺好用的                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
16'特别是在比拉诺瓦手下，特略真的太幸福了                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
16'反越位！                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
16'梅西还是被吹了越位                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
16'这球很难说越位啊                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
17'在最左边的后卫其实跟梅西是平行的                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
17'略伦特！！！                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
17'Gooooooooooal！！！                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
18'奥萨苏纳又是左边路起球传中，略伦特在角度极小的情况下飞身垫射，球进了！                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
18'巴萨不长记性，开场险些丢球也是对方在左路的传中制造的机会                   15'第15分钟，伊涅斯塔传球，特略切入禁区左侧18码处劲射打中近角立柱外侧弹出
18'奥萨苏纳又是左边路起球传中，略伦特在角度极小的情况下飞身垫射，球进了！                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
18'巴萨不长记性，开场险些丢球也是对方在左路的传中制造的机会                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
19'梅西连续的带球突破！                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
19'交给了左边路无人防守的特略...推射被门将拒之门外！！！                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
19'巴萨的反击也来得很犀利，角球                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
19'传中被后卫顶出...巴萨继续组织                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
20'分边球找小白，结果直接出底线了                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
21'阿尔巴今天在左路很活跃，对方也没怎么进攻他这一侧                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
21'奥萨苏纳后卫回传险些玩火，还好中卫补防很快解围了                   18'  flash player end  播放器 end 第18分钟，梅西反击中传球，特略禁区左侧12码处推射被费尔南德斯扑出
26'伊涅斯塔卷土重来，被后卫放倒在了禁区边缘，裁判没有理会                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
26'空门了！！！                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
26'伊涅斯塔居然打高了！                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
26'巴萨连续获得良机，桑切斯低平球传中，伊涅斯塔面对出击的门将推射，空门都打高了                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
26'伊涅斯塔也许是太疲倦了，还没有进入状态                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
27'奥萨苏纳的球员中场防守犯规了                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
27'裁判掏出了黄牌，给了11号西西                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
27'cule-jordi瞳:帝托叔手下的巴萨速度比以往快了---速度是快了不少，看起来挺过瘾的                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
28'梅西被后卫围抢，球丢了                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
28'奥萨苏纳左路传中，并没有球员包抄抢点，巴萨的球门球                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
28'慢镜头再次给了之前的丢球，巴萨禁区内3名后卫都没有看住略伦特，阿尔巴被甩在了身后                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
29'小法禁区前挡出了对方的传中                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
29'巴萨反击左路的特略被吹越位                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
29'奥萨苏纳今天也是够狠的，跟巴萨打对攻                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
29'几次造越位都有些冒险                   26'第26分钟，桑切斯右路传中，伊涅斯塔12码处直面大门推射高出
33'传球都找特略，这孩子比梅西拿球都还多了                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
33'小白中场停球失误，奥萨苏纳反击的机会                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
33'连续在禁区内打门！！！                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
33'巴萨险些又丢球了                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
33'这一次奥萨苏纳利用巴萨后防的失误，普约尔解围不够果断                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
34'先是拉马的打门被巴尔德斯扑了一下，随后略伦特的补射被皮克堵了枪眼                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
34'巴萨这个赛季漏洞不少啊                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
35'巴萨获得了一个位置稍远的定位球                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
35'这球还是梅西来处理，直接打门！                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
35'梅西的射门没打出速度，角度倒是不错，被门将接住了                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
36'布斯克茨在后场拦截犯规，裁判还给了黄牌                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
36'这球也是缘于小白的一次停球失误                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
36'奥萨苏纳的远距离定位球机会                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
36'瑟尤多的传中球直接给出了底线                   33'奥萨苏纳第33分钟险些扩大比分，达米亚左路突破传球，拉马赫禁区左侧射门被扑出，洛伦特小禁区前两度射门均被皮克挡出
38'梅西趟过了出击的门将！                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
38'不过梅西的推射还是被挡了出去，角球                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
38'巴萨角球传前点，后卫顶到了头球                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
38'两队现在的射门次数和射正次数都相差无几                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
39'巴萨只比奥萨苏纳多一次                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
39'特略的传中，还是角球                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
39'伊涅斯塔的角球传中被出击的门将击出禁区                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
39'巴萨连续传中，最后被对方门将直接没收了                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
40'桑切斯被对方球员盯得很紧，边路转移出来                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
41'怎么全是在找特略的，对方后卫头球点给了门将                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
41'特略今天还成为了巴萨的主攻点了，至少需要他在边路的速度                   38'第38分钟，伊涅斯塔传球，梅西禁区左侧试图晃过费尔南德斯，但最后的小角度射门仍被对方门将挡在边网
48'裁判还给了犯规的奥萨苏纳球员一张黄牌                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
48'阿尔巴，恐怕无法坚持比赛了么                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
48'担架进场了，不过他自己又站了起来                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
49'应该问题不大                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
49'洛埃这个犯规动作并不大，不过还是很危险的                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
49'桑切斯的传球被抢断，普约尔在中场上抢，漂亮的把球拦截下来                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
50'巴萨尝试放慢节奏来进攻                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
50'桑切斯逼得了一个角球                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
50'巴萨的传中球被门将打了一下                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
51'奥萨苏纳的边路反击，拉马脚底打滑，自己在边线附近滑到了                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
51'桑切斯在中路强行突破，被后卫卡住了位置                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
51'无奈之下桑切斯拉人了，奥萨苏纳的后场定位球                   48'第48分钟，罗伊绊倒阿尔巴被罚黄牌
58'奥萨苏纳来了一脚远射，西西~打门飞向了看台                   58'第58分钟，西西远射高出
58'下半场巴萨的进攻感觉反倒不如上半场那么顺利                   58'第58分钟，西西远射高出
59'比拉诺瓦要换人了，佩德罗要出场                   58'第58分钟，西西远射高出
59'特略给梅西的传球被后卫解围                   58'第58分钟，西西远射高出
59'梅西禁区弧顶，停球其实没有处理好                   58'第58分钟，西西远射高出
59'自己调整了一下，换到右脚射门，打得太正了                   58'第58分钟，西西远射高出
60'小法在后卫的逼抢下传球失误了                   58'第58分钟，西西远射高出
60'梅西转移一下，阿尔巴助攻上来                   58'第58分钟，西西远射高出
60'特略传球意图太明显被抢断了                   58'第58分钟，西西远射高出
60'奥萨苏纳的反击，危险啊                   58'第58分钟，西西远射高出
61'普约尔又是速度慢了一些，被对方打了身后                   58'第58分钟，西西远射高出
61'奥萨苏纳禁区左侧的一次远射！巴尔德斯倒地把球稳稳抱住                   58'第58分钟，西西远射高出
61'奥萨苏纳连续的进攻，逼得了一个角球                   58'第58分钟，西西远射高出
61'拉马角球传前点，布斯克茨头球顶了一下，皮克紧跟着头球解围                   58'第58分钟，西西远射高出
61'普约尔又是速度慢了一些，被对方打了身后                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
61'奥萨苏纳禁区左侧的一次远射！巴尔德斯倒地把球稳稳抱住                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
61'奥萨苏纳连续的进攻，逼得了一个角球                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
61'拉马角球传前点，布斯克茨头球顶了一下，皮克紧跟着头球解围                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
62'奥萨苏纳大举压上，被断球了                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
62'反击中特略位置靠前，越位啊                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
62'这球明显的越位了                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
62'巴萨换人，佩德罗换下了法布雷加斯                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
62'小法今天表现得不好                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
63'奥萨苏纳的定位球，传中又被略伦特抢到点                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
63'这一次的头球攻门擦着立柱飞出底线                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
64'奥萨苏纳的球迷也不带消停的，嘘声一直很大                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
64'阿尔维斯还是想给梅西做球，不过梅西停球之后被抢断了                   61'第61分钟，西西禁区左侧边缘的射门也被巴尔德斯得到
63'奥萨苏纳的定位球，传中又被略伦特抢到点                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
63'这一次的头球攻门擦着立柱飞出底线                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
64'奥萨苏纳的球迷也不带消停的，嘘声一直很大                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
64'阿尔维斯还是想给梅西做球，不过梅西停球之后被抢断了                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
65'拉马~左路的反击射门！！！差了一点                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
65'巴尔德斯并没有碰到皮球，这球擦着立柱出了底线                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
66'奥萨苏纳打法其实很简单，就是找高点，不过巴萨还真就怕这个                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
66'阿尔巴后场长传，对方门将冲出禁区大脚解围                   63'第63分钟，普尼亚尔右路传中，洛伦特10码处头球攻门偏出右侧立柱
70'巴萨要换上哈维，换下了伊涅斯塔                   70'第70分钟，哈维替换伊涅斯塔出场
70'哈维上场之后巴萨的中场控制应该会有所改观吧                   70'第70分钟，哈维替换伊涅斯塔出场
70'布斯克茨后场玩火！！！                   70'第70分钟，哈维替换伊涅斯塔出场
70'险些被尼诺单刀进球！                   70'第70分钟，哈维替换伊涅斯塔出场
70'布斯克茨脚后跟拉球过人，摔倒了！                   70'第70分钟，哈维替换伊涅斯塔出场
71'尼诺面对出击的巴尔德斯，推射却击中了立柱                   70'第70分钟，哈维替换伊涅斯塔出场
72'今天巴萨是全体不在状态，难道是为了超级杯分心太多了么                   70'第70分钟，哈维替换伊涅斯塔出场
72'梅西直塞~桑切斯单刀了！                   70'第70分钟，哈维替换伊涅斯塔出场
72'在两名后卫的夹抢下，桑切斯仓促的左脚打门，被门将扑了出去                   70'第70分钟，哈维替换伊涅斯塔出场
73'拉马和队友来了一次撞墙式配合，自己的打门被巴尔德斯接住了                   70'第70分钟，哈维替换伊涅斯塔出场
72'今天巴萨是全体不在状态，难道是为了超级杯分心太多了么                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
72'梅西直塞~桑切斯单刀了！                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
72'在两名后卫的夹抢下，桑切斯仓促的左脚打门，被门将扑了出去                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
73'拉马和队友来了一次撞墙式配合，自己的打门被巴尔德斯接住了                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
74'特略回到禁区前参与防守，断球后晃开了对方的上抢，巴萨反击                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
74'还是在禁区前遭到了对方的阻截                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
74'比利亚！要出场了                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
74'比利亚换下了特略                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
75'梅西！！！                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
75'Gooooooooooooooooooooal！！！                   72'第72分钟，梅西直传，桑切斯禁区边缘的推射被费尔南德斯扑出
76'还是得靠梅西！！！                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
76'梅西带球反击...佩德罗的传中被后卫挡了一下，桑切斯跟进再传~门前梅西倒地的捅射，球进了！！！                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
77'巴萨士气大振，比赛还有时间                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
