41'进球啦！！！美因茨球员J-霍夫曼大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是布罗辛斯基. 法兰克福 0-1 美因茨.                   41'第41分钟，霍夫曼射进右下角
42'美因茨球员盖斯拼抢犯规,对手获得控球权.                   41'第41分钟，霍夫曼射进右下角
42'长谷部诚为法兰克福赢得一个任意球.                   41'第41分钟，霍夫曼射进右下角
44'进球啦！！！美因茨球员冈崎慎司大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是布罗辛斯基. 法兰克福 0-2 美因茨.                   41'第41分钟，霍夫曼射进右下角
72'美因茨球员布罗辛斯基拼抢犯规,对手获得控球权.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
72'奥奇普卡为法兰克福赢得一个任意球.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
73'法兰克福换人,施滕德拉换下伊格尼奥夫斯基                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
74'美因茨球员冈崎慎司拼抢犯规,对手获得控球权.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
74'赞布拉诺为法兰克福赢得一个任意球.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
74'黄牌！美因茨球员冈崎慎司因为恶意犯规,被主裁判出示黄牌.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
75'哈拉将球处理出底线,法兰克福获得角球.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
75'贝尔将球处理出底线,法兰克福获得角球.                   72'第72分钟，冈崎慎司禁区内倒地，主裁判吹罚点球，但与助理裁判商议后取消点球
