1'上半场比赛开始！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
1'上港率先中圈开球                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
1'伊班拿球往左路转移，王燊超分球失误了                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
2'孙凯斜传前场，阿多补防右路铲倒了杨家威                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
2'阿多被黄牌警告！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
3'孙凯任意球开后点，吴禹寅头球解围                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
3'外围申鑫的远射打飞了                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
3'乌塔卡前场回敲，于涛送身后球进禁区                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
3'查尔顿插上被出击的颜骏凌扑倒！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
3'点球！！！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
4'乌塔卡来罚点球！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
4'点球骗过门将，乌塔卡在申鑫的处子球！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
4'申鑫1-0领先上港！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
2'孙凯斜传前场，阿多补防右路铲倒了杨家威                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
2'阿多被黄牌警告！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
3'孙凯任意球开后点，吴禹寅头球解围                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
3'外围申鑫的远射打飞了                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
3'乌塔卡前场回敲，于涛送身后球进禁区                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
3'查尔顿插上被出击的颜骏凌扑倒！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
3'点球！！！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
4'乌塔卡来罚点球！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
4'点球骗过门将，乌塔卡在申鑫的处子球！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
