1'上半场比赛开始！                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
1'上半场比赛由曼联中圈开球                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
1'费莱尼长传左路找阿什利扬，球直接出了边线                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
1'克莱因传上来，斯图里奇做球，出了边线                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
2'利物浦后场控球                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
3'洛夫伦，直传，库蒂尼奥停大了                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
3'球还是回到了洛夫伦脚下                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
3'库蒂尼奥回接一下，横传                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
3'失误了                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
44'曼联的进攻也是连续不起来                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
44'斯图里奇背身接应被拜利放倒                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
44'库蒂尼奥直接旋门前，德赫亚将球没收                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
44'刚才拜利吃到黄牌                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
45'德赫亚长传上来，拉什福德越位                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
46'中场的缠斗                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
46'埃雷拉倒地                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
47'任意球发出来                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
47'菲尔米诺断球                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
47'上半场比赛结束！                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
46'下半场比赛开始！                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
46'下半场由利物浦中圈开球                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
46'又是瓦伦西亚右路拿球，球出边线                   44'第44分钟，拜利对斯图里奇犯规得到全场首张黄牌
54'德赫亚长传上来，伊布没有顶上                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
54'费莱尼争抢犯规                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
54'镜头给到了在场边热身的拉拉纲                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
55'博格巴右路突破传中，伊布到位头球攻门                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
55'怎么形成了摆渡，球的线路与门线形成一对平行线                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
56'费莱尼禁区内背身接应传中，洛夫伦大脚将球踢出边线                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
57'埃雷拉防守犯规                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
57'利物浦获得一个中路偏左的任意球机会                   54'曼联第54分钟险些打破僵局，博格巴轻巧闪过亨德森后右路传中远点，但反越位成功的伊布近距离头球顶偏
71'卡里乌斯交给右路的克莱因                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
71'回复：Amphetamine--Mao  04:25 举报回复  把马塔和鲁尼换上搏一搏（可以一试）                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
