2'维拉在通过中场时传球失误，球被埃文斯拦截                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
2'埃文斯今天出现在左边后卫位置上                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
2'曼联也是在中场把球控制住，稳住节奏                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
2'卡里克把球交给中路的马塔                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
2'马塔把球分边给左边路的阿什利扬                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
3'阿什利扬沿边路突破，禁区外地平球传中到门前，范佩西斜插接应，推射，没有打正部位！！                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
3'球是被范佩西用脚蹭了一下，球出了底线                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
5'维拉虽然主场作战，但还是以防守为主                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
5'曼联的队型压得比较靠上，在中前场给了为了很大的压力                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
5'维拉的进攻基本只能延续到中场                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
18'鲁尼前场左路斜长传到禁区右侧，范佩西凌空抽射！力量不大，球被门将侧扑扑住！                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
18'弗莱彻在中场回追时，身后推倒了德尔菲，犯规！                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
19'本特克进球了！！！                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
19'【此时此刻值得来杯嘉士伯】                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
20'德尔菲任意球传到后点，本特克胸部停球后扣过埃文斯，禁区右侧左脚推射后角！！德赫亚的视线被后卫完全挡住！毫无反应！！球贴着门柱进入球门！                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
20'维拉利用一次任意球机会取的了领先                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
21'本特克这脚推射拉出了一道美丽的弧线！                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
21'维拉在边路传递，维曼停球失误出了边线                   18'维拉第18分钟取得领先，德尔夫任意球传入禁区，本特克禁区右侧晃开埃文斯后16码处弧线球射入远角
48'维拉前场一次漂亮的反击，本特克带球到禁区弧顶，吸引了曼联4个防守球员，突然分到禁区左侧空挡，阿邦拉霍的射门被后卫挡出！！                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
49'角球传到后点，本特克头槌攻门！！近在咫尺的射门啊，被德赫亚神级扑救托出横梁！！！                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
49'德赫亚果然神勇啊！                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
51'鲁尼似乎在中场的能力也只局限于横向调度，往前有深度的传递并不多                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
