3'利物浦进球了！！！                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
3'库蒂尼奥！！                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
3'禁区外围远射，球击中横梁后反弹入网！                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
4'南安普敦中路并没有人进行及时封堵                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
4'此时此刻值得来杯嘉士伯                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
4'南安普敦这边也获得机会                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
5'德约里西奇禁区内拿球给到埃利亚                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
5'埃利亚禁区内近距离推射被后卫挡了出去！！                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
5'南安普敦战术角球开出                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
5'禁区内吉田麻也打门有些勉强                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
6'比赛一上来，两队都没有进行试探                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
31'普劳斯中场拦截的时候推人犯规                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
31'利物浦左路拿球突破到了禁区里                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
32'斯特林接球后到底线一扣                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
32'南安普敦的防守滑铲带倒了斯特林！！                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
32'裁判还是没有任何的表示，示意比赛继续进行                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
32'吉田麻也中场的补防先将球破坏了                   31'第31分钟，斯特林突入禁区左侧被丰特铲倒，裁判拒绝判罚点球
44'洛夫伦滑铲普劳斯犯规                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
44'上半场比赛已经临近尾声了，利物浦客场1-0暂时领先南安普敦                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
44'斯特林前场拿球被断                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
