1'莱万特开球！比赛开始                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
1'哈维洛佩斯犯规了                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
1'莱万特前场左侧任意球开出！球在禁区被解围了                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
2'托诺得球分左侧！给到莫拉莱斯！直接出界了                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
2'西班牙边线球掷出！球在前场被莱万特断下了                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
3'艾托尔得球分右侧！球被维佐得到！直塞球往前给                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
3'球被埃尔莫索护出了底线                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
3'门球开出！争顶之后球被巴尔德西解围出了边线                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
4'西班牙人边线球掷出！达德尔得球转移中路纳尔多！！！                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
4'球随后被罗德里格斯踢出了边线                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
16'巴尔德西接球挑传禁区！马约拉尔一记横传                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
16'球被纳尔多挡出去了                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
16'罗卡得球直接给中圈达德尔！！再给弧顶伊格莱西亚斯！！！直接低射！球进了                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
18'继续看比赛                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
18'托诺得球直接传中！球被顶出到了外围                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
18'佩德罗萨得球转移身前的达德尔！！被断了                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
19'随后杰森起高球传中！球被哈维洛佩斯顶出了边线                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
19'莱万特边线球掷出！托诺得球！球被破坏出了底线                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
19'莱万特角球机会！！球被纳德尔踢出了底线                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
19'右侧角球开出！杰森低平球传中！球被埃尔莫索铲出了底线                   16'西班牙人第16分钟取得领先，罗卡传球，达德尔斜传，博尔哈突破至禁区边缘劲射入网
45'西班牙人战术角球开出，直接被莱万特顶出了底线                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
45'角球继续！外围队友直接射门！！球被挡出去了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
45'罗卡得球继续射门！！！这次球进进进了……                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
46'这球好像有手球的嫌疑啊                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
47'裁判去看VAR了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
48'这球不算！！吹掉了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
46'下半场开始了~                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
46'西班牙人开球出去                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
46'埃尔莫索得球挑传左侧！佩德罗萨带球到中路！球被断了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
46'随后托诺把球解围了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
47' 现在球被梅伦多得到！一脚斜传给到前场中路！！                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
48'普啊多没追到！！！球被伊格莱西亚斯得到！回传身后的梅伦多                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
48'继续转移出去！球被切马罗德里格斯顶出！                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
48'随后维佐把球解围了                   45'第45分钟，罗卡角球混战中14码处射入左下角，但VAR判定他手球犯规在先，进球无效
62'马蒂换下了托诺                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
63'任意球开出！！！维佐跟进直接头球攻门！！球进了                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
63'佩德罗萨得球转移后场中路！纳德尔拿球继续分右侧                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
63'哈维洛佩斯得球被绊倒了                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
63'纳尔多任意球开出！直接给前场中路！                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
64'球被左侧的切马罗德里格斯得到！直接挑传左侧！                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
64'球被埃尔莫索解围了                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
65'伊格莱西亚斯得球转移禁区左侧！球被皮尔踢出了底线                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
65'西班牙人战术角球开出！禁区连续争顶！罗卡直接抬脚射门！！！球进进进进了……                   62'莱万特第62分钟扳平，坎帕尼亚右路任意球传中，无人防守的维佐小禁区边缘附身冲顶反弹球入网，1-1
72'继续分球前场右侧！杰森下底传中！球被达德尔踢出了边线                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
72'中路皮尔得球转移右侧维佐！挑传前场                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
73'球被罗奇纳断下了！！！和队友一个撞墙配合！！直接射门！球进进进了                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
74'继续看比赛                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
74'迭戈洛佩斯大脚开球出去！！中圈附近球被莱万特得到                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
75'莱万特拿球给前场中路！维克托把球断下了~                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
75'罗奇纳反抢犯规了~                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
75'裁判给了第二张黄牌！！！                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
75'两黄变一红！！！罗奇纳被罚下了！                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
