1'上半场比赛开始                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
1'拜仁中圈开球                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
1'回敲门将，给博阿滕                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
1'长传前场，瓦格纳头球争顶                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
1'对手压人了，前场任意球                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
1'J罗任意球进禁区，被头球顶出                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
2'美因茨左路反击                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
2'传中到门前，博阿滕拦截                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
3'里贝里左路回撤接应，被破坏出边线                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
3'霍尔特曼左路拿球，博阿滕解围                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
4'左路传中进禁区，被破坏                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
4'瓦格纳背身做球，拜仁转移左路                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
4'J罗中间被绊倒了，任意球                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
33'穆勒右路拿球传中去后点，角球                   33'拜仁第33分钟取得领先
33'鲁迪角球开前点                   33'拜仁第33分钟取得领先
33'拜仁进球了！！！                   33'拜仁第33分钟取得领先
33'里贝里！！！                   33'拜仁第33分钟取得领先
34'角球前点被顶出，里贝里禁区线附近跟上就是一脚，直窜网窝                   33'拜仁第33分钟取得领先
34'美因茨0-1落后拜仁                   33'拜仁第33分钟取得领先
34'这也是里贝里本赛季联赛首球                   33'拜仁第33分钟取得领先
35'迪亚洛左路出球，被拉菲尼亚断下                   33'拜仁第33分钟取得领先
35'鲁迪中场出球被断                   33'拜仁第33分钟取得领先
35'反击到禁区前，被拦截了                   33'拜仁第33分钟取得领先
36'马克西姆中路带球被鲁迪拉倒                   33'拜仁第33分钟取得领先
36'裁判黄牌警告了鲁迪                   33'拜仁第33分钟取得领先
44'瓦格纳和穆勒禁区前踢墙配合进禁区了                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
44'穆勒面对出击的门将，没打上力量                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
44'门线前被解围了                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
44'托利索外围拿球，传后点                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
44'拜仁又进一球                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
44'J罗！                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
45'托利索搓传后点，J罗胸部卸球，直接抽射破门                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
45'美因茨0-2落后拜仁                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'上半场补时1分钟                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'拜仁连续传接                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'马克西姆分左路，霍尔特曼传中                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'胡梅尔斯解围出去了                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
47'上半场比赛结束                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'下半场比赛开始                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
46'夸森换下的是奥茨图纳利                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
