1'上半场比赛开始了，利物浦开球                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
1'利物浦从画面右侧向左侧进攻，塞维利亚反之                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
1'菲尔米诺回敲给马蒂普，起球长传                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
2'詹前场左侧拼抢把球碰出边线                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
2'梅尔卡多界外球给出                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
2'中圈附近亨德森拦截，在给身前马内                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
2'马内转身被放倒在地                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'马内上轮联赛也是因为飞踹而吃到红牌                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'利物浦右侧给到萨拉赫，横向盘带                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'在挑左侧马内，杀入禁区，回做                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'外围詹一记远射，被里科稳稳没收                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'手抛给左侧埃斯库德罗                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
3'边路直塞被挡出界外                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'塞维利亚后场给到克亚尔，给到恩宗齐                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'后场倒脚，给到里科，长传给出来                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'边线争抢，洛夫伦头球解围                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'塞维利亚右侧给到梅尔卡多，在回敲纳瓦斯，在给门将                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'里科大脚开起来                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'直接送出边线                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'左侧界外球，回敲给到卡里乌斯，大脚起来                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
4'梅尔卡多的解围                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
21'菲尔米诺拿球，身后给亨德森                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
21'一记漂亮的直塞给到禁区左肋                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
21'前插的莫雷诺禁区内下底，倒三角给到门前                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
21'小禁区内菲尔米诺轻松吃饼，                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
21'菲尔米诺的门前推射，轻松扳平                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
22'亨德森禁区前沿的直塞，莫雷诺左侧杀入底线，低球平推门前，菲尔米诺无比轻松的进球                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
22'双方的进球非常相似，只是菲尔米诺是中路打进，本耶德尔靠近后门柱一些                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
22'塞维利亚右侧给到梅尔卡多                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
22'挑传被洛夫伦解围                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
22'帕雷哈后场拿球，身边给克亚尔                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
23'斜传左侧给埃斯库德罗，长传前场                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
23'科雷亚单吃马蒂普，变向突破，被马蒂普断下                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
