2'埃弗顿前场再攻，右路传中，被科斯切尔尼解围出底线                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
2'埃弗顿获得右侧角球机会！！                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
2'角球开出到前点，科尔曼抢在维尔贝克之前，倒地铲射，打在边网上！！                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
3'维尔贝克左路拿球强突，底线内切                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
3'回防的贝西奇大脚解围，打在立柱外侧，碰到维尔贝克出底线                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
3'埃弗顿的门球                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
3'埃弗顿进攻，中场的过顶长传找卢卡库                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
4'卢卡库左路拿球，边路传中到禁区                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
4'巴克利力压科斯切尔尼的头球攻门，顶高！！                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
4'维尔贝克前场强突，赢得左侧角球机会！！                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
4'厄齐尔角球开出到前点，加布里埃尔的凌空垫射，打飞！！                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
5'开场双方都有一次不错的机会，可惜啦                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
5'克莱维利前场中路拿球，分球卢卡库                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
5'卢卡库拿球再突，分球左路上来的拜恩斯                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
7'厄齐尔前场拿球，不越位，进入禁区                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
7'1-0！！                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
7'此时此刻值得来杯嘉士伯！！！！                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
7'维尔贝克的进球！！                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
8'伊沃比前场中路拿球，分球桑切斯，桑切斯横切，再送直塞打身后，维尔贝克反越位成功，面对罗布勒斯，趟过，推射空门打进！！                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
9'贝西奇中场拿球，横传给到麦卡锡                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
9'麦卡锡面对逼抢，回传后场给到福尼斯                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
9'桑切斯中场和拜恩斯争抢头球，桑切斯被吹压人犯规！！                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
10'贝西奇后场拿球，面对维尔贝克的逼抢                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
10'横传球给到回来接应的巴克利，巴克利回敲贾吉尔卡                   7'阿森纳第7分钟取得领先，枪手连续13脚连续配合，桑切斯踢墙配合后直传，加吉尔卡盯防失误，反越位成功的维尔贝克单刀晃过罗布莱斯后射入空门
35'贝西奇外围挑传找禁区线上的巴克利                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
35'巴克利背身拿球，转身时球科斯切尔尼破坏                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
36'蒙雷亚尔左路45度的斜传球到禁区，贾吉尔卡抢在维尔贝克之前，伸脚解围出边线                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
36'阿森纳左路的传中，桑切斯禁区抢点犯规在先！！                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
37'精彩回放：桑切斯前场拿球，强突进入禁区，面对贝西奇的防守，趟球后被对方一勾，跌跌撞撞两步之后倒地，桑切斯索要点球，裁判并未理会                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
38'麦卡锡前场中路拿球，分球右路给科尔曼                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
38'科尔曼右路强突下底，传中被回防的埃尔内尼挡出底线                   35'第35分钟出现争议，桑切斯禁区右肋在贝西奇防守下摔倒，裁判拒绝判罚点球
51'斯通后场回传罗布勒斯，失误啦、                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
51'维尔贝克抢断反击，进入禁区，靠着斯通转身                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
52'斯通提前卡位，将球护送给出击的罗布勒斯拿到                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
52'这球斯通最后的卡位相当关键！！                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
52'不过维尔贝克也是稍显复杂，如果提前起脚打门，机会应该也是有的                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
