1'上半场比赛开始！！                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
1'首先开球的是利物浦                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
1'菲尔米诺左路拿球被放倒                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
1'利物浦任意球打了一个配合                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
1'底线挑传到中路                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
1'菲尔米诺这边没有顶到                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
2'赫尔城后场控球                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
2'利物浦这边抢的也很凶                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
2'赫尔城转移到边路                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
2'在利物浦的干扰下失误了                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
3'利物浦中场控球                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
3'比赛的节奏还没有打起来                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
4'马蒂普右路起球被挡出边线                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
4'利物浦大范围转移给到右路                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
44'赫尔城这边获得一个角球                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
44'角球送禁区                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
44'1-0！！！                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
45'恩迪亚耶！！                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
