1'皮什切克将球处理出底线,弗赖堡获得角球.                   1'第1分钟，登贝莱断下对方解围球，在门前25米处抽射被施沃洛夫得到
3'多特蒙德球员杜尔姆拼抢犯规,对手获得控球权.                   1'第1分钟，登贝莱断下对方解围球，在门前25米处抽射被施沃洛夫得到
3'V-格里福为弗赖堡在对方半场,赢得一个任意球.                   1'第1分钟，登贝莱断下对方解围球，在门前25米处抽射被施沃洛夫得到
4'弗赖堡球员施沃洛夫一脚直塞球给V-格里福,但是边裁举旗显示后者已经越位.                   1'第1分钟，登贝莱断下对方解围球，在门前25米处抽射被施沃洛夫得到
31'射门!!!多特蒙德球员罗伊斯大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是圭雷罗.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
31'射门!!!多特蒙德球员圭雷罗球门线跟前左脚射门,被对方守门员横身扑出.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
31'多特蒙德球员登贝莱大禁区中央右脚射门,被防守球员封堵.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
31'多特蒙德球员奥巴梅扬大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是登贝莱.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
31'多特蒙德球员奥巴梅扬球门线跟前尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是罗伊斯.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
31'多特蒙德球员圭雷罗球门线跟前尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是罗伊斯.                   31'多特第31分钟错过必进球，格雷罗左路传球，罗伊斯突入禁区左侧，左脚小角度推射被施沃洛夫扑出，格雷罗左脚补射又被施沃洛夫扑出，登贝莱右侧距门13米处倒钩打在奥巴梅扬头上弹起，罗伊斯左脚得球再横传，格雷罗推射空门偏出右门柱
55'多特蒙德球员帕帕斯塔索普洛斯大禁区中央头球,被防守球员封堵.给他传球的是奥巴梅扬.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
55'进球啦！！！多特蒙德球员奥巴梅扬球门线跟前左脚射门,球从中路偏上飞进球门,球进了!助攻的是罗伊斯. 弗赖堡 0-2 多特蒙德.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
57'帕帕斯塔索普洛斯将球处理出底线,弗赖堡获得角球.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
57'射门!!!弗赖堡球员瑟云聚小禁区左侧头球,被对方守门员横身扑出.给他传球的是彼得森.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
58'多特蒙德球员圭雷罗大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是卡斯特罗.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
58'圭雷罗将球处理出底线,弗赖堡获得角球.                   55'下半时开始10分钟，多特后场长传，罗伊斯左路突破后卫切入禁区传中，奥巴梅扬轻松推过门线，2比0
70'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是杜尔姆. 弗赖堡 0-3 多特蒙德.                   70'多特第70分钟再下一城，登贝莱中路直传，杜尔姆禁区右侧无私横传，奥巴梅扬左侧距门7米处脚后跟打进左下角，3比0
72'弗赖堡球员Florian Niederlechner大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是弗朗茨.                   70'多特第70分钟再下一城，登贝莱中路直传，杜尔姆禁区右侧无私横传，奥巴梅扬左侧距门7米处脚后跟打进左下角，3比0
73'多特蒙德球员罗伊斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是登贝莱.                   70'多特第70分钟再下一城，登贝莱中路直传，杜尔姆禁区右侧无私横传，奥巴梅扬左侧距门7米处脚后跟打进左下角，3比0
73'Florian Niederlechner为弗赖堡赢得一个任意球.                   70'多特第70分钟再下一城，登贝莱中路直传，杜尔姆禁区右侧无私横传，奥巴梅扬左侧距门7米处脚后跟打进左下角，3比0
73'多特蒙德球员魏格尔拼抢犯规,对手获得控球权.                   70'多特第70分钟再下一城，登贝莱中路直传，杜尔姆禁区右侧无私横传，奥巴梅扬左侧距门7米处脚后跟打进左下角，3比0
