1'上半场比赛开始                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
1'鲁能泰山队左路进攻                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
1'鲁能泰山队今天身着桔红色的主场比赛服                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
1'贵州人和队身着白色上衣、黑色短裤                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
2'张文钊右路突破，在对方逼抢下，把球捅出边线                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
2'界外球发出来，蒿俊闵把球破坏                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
3'唯ai鲁能甜瓜力宏：誓死忠诚！！济宁球迷提前发来贺电！！回复〔现在贺啥啊！呵呵〕                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
3'我不知道该叫什么好啊：洛维去哪里了啊？回复〔洛维和阿洛伊西奥都去踢世界杯了吧〕                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
3'贵州人和队中路突破，逼得前场任意球机会                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
4'张成林发任意球直接打门，地滚球，直接出底线                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
4'后场鲁能泰山队长传前场右路，对方护球出底线                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
6'后场贵州人和队断球，右路快速反击                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
6'贵州人和队攻到前场，杨一虎外线远射！从远点偏出！                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
7'刘彬彬左路横传门前，球到右路，蒿俊闵再横传，萨利把球顶出！                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
7'中场鲁能泰山队断球长传前场右路，蒿俊闵没能把球停住！                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
9'贵州人和队右路长传，陈昌源右路接球，被对方抢断下来                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
9'贵州人和队右路突破造成对方犯规啦                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
9'任意球发到禁区内，杜威大脚破坏                   6'第6分钟，贵州人和再次组织进攻，杨一虎禁区外一脚斜射偏出
20'贵州人和队一名队员在前场受伤倒在地上，但贵州人和队并没有停止进攻！                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
20'杨一虎一脚远射！打高！                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
20'受伤的是陈昌源！                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
21'刘彬彬接吕征的传球，好机会啊，没有塞过去                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
22'饶伟辉长传球到前场，对方把球开到中场                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
22'蒙蒂略中场拿球，交给张驰                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
22'吕征左路强突下底，在陈昌源的紧贴防守下，球出底线                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
23'乌索后场拿球，左路带球进攻，被断后乌索推人犯规，推倒了陈昌源                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
23'任意球发到禁区内，陈子介越位                   20'第20分钟，贵州人和前场有人受伤，但未停止进攻，杨一虎带球到禁区前突然一脚远射高出横梁
