8'热尔维尼奥禁区外围低射被阿比亚蒂得到                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
8'巴洛特利禁区弧顶附近拿球被放倒                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
8'巴洛特利任意球直接打门                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
8'德桑克蒂斯没有怎么移动就将球得到                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
9'德斯特罗前场拿球，第一下没有停好                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
9'酷爱KG和PP和：托帝替补上场进一球罗马4比0大胜---都觉得是场大胜么？                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
10'麦孔拿球被侵犯                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
10'场边卡卡和阿莱格里有些争论                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
10'罗马前场拿球给到边路                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
10'巴洛特利回防险些将球抢断                   7'开场7分钟，热尔维尼奥左路内切低射被阿比亚蒂得到
13'蒙塔里中场长传直接出了底线                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
13'比赛开始后，两队的节奏并不快                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
13'罗马中场拿球往前走                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
13'罗马进球了！！                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
14'德斯特罗                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
15'罗马左路传球送禁区内，斯特鲁特曼得球后横敲门前，德斯特罗铲射将球轻松打进！                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
15'用户3729834767：米兰必胜2球以上--现在看情况不妙                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
16'埃马纽尔森左路拿球给到中路                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
16'罗马的防守很严密将球抢断下来                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
16'米兰前场左路获得任意球                   13'罗马第13分钟取得领先，利亚伊奇左路直塞，斯特鲁特曼禁区左侧传中，德斯特罗在门前4米处铲射入网，1比0，AC米兰本赛季前15分钟失球达到6个，并列意甲首位
29'巴洛特利拿球再分边路                   29'AC米兰第29分钟追平
29'结果蒙塔里没有示意到                   29'AC米兰第29分钟追平
29'米兰左路传球送禁区内                   29'AC米兰第29分钟追平
29'罗马禁区内回传球让门将很难办                   29'AC米兰第29分钟追平
30'埃马纽尔森左路到禁区内，劲射被挡出底线                   29'AC米兰第29分钟追平
30'米兰进球了！！！                   29'AC米兰第29分钟追平
30'萨帕塔                   29'AC米兰第29分钟追平
31'米兰角球送前点，蒙塔里头球摆渡下来，后点萨帕塔在无人看防的情况下头球顶进！                   29'AC米兰第29分钟追平
32'罗马队进攻，布拉德利底线一钩将球往门里送                   29'AC米兰第29分钟追平
32'米兰后卫在门线上将球破坏出来                   29'AC米兰第29分钟追平
32'慢镜头回放，这球也是没有进                   29'AC米兰第29分钟追平
30'埃马纽尔森左路到禁区内，劲射被挡出底线                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
30'米兰进球了！！！                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
30'萨帕塔                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
31'米兰角球送前点，蒙塔里头球摆渡下来，后点萨帕塔在无人看防的情况下头球顶进！                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
32'罗马队进攻，布拉德利底线一钩将球往门里送                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
32'米兰后卫在门线上将球破坏出来                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
32'慢镜头回放，这球也是没有进                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
33'米兰后场失误了                   30'第30分钟，利亚伊奇左侧任意球被阿比亚蒂击出，卡斯坦得球传出，布拉德利左门柱边凌空勾射，博内拉门线上将球破坏
33'米兰后场失误了                   33'第33分钟，热尔维尼奥单刀突入禁区左侧趟球稍大，萨帕塔铲出底线
34'热尔维尼奥拿球到禁区内，有些犹豫                   33'第33分钟，热尔维尼奥单刀突入禁区左侧趟球稍大，萨帕塔铲出底线
34'萨帕塔很果断的将球滑铲出了底线                   33'第33分钟，热尔维尼奥单刀突入禁区左侧趟球稍大，萨帕塔铲出底线
34'罗马角球送禁区内，威胁不大                   33'第33分钟，热尔维尼奥单刀突入禁区左侧趟球稍大，萨帕塔铲出底线
35'流雲___：米兰逆转已成定局，哈哈---大家都是预言帝                   33'第33分钟，热尔维尼奥单刀突入禁区左侧趟球稍大，萨帕塔铲出底线
39'『互动话题』卡卡的AC米兰第一百球本场能否实现？                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
39'多多左路拿球到禁区内                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
39'突然选择了打门，打近角，球打高了                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
40'麦孔右路拿球，没有传球的机会                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
41'卡卡前场抢球，手上有推人的动作                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
41'卡斯坦痛苦的倒在了地上                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
41'担架已经进场了                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
41'看样子这摔的不轻啊                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
42'robben晟：今天卡卡100球没问题---这么有信心                   39'第39分钟，热尔维尼奥左路传中，多多前点小角度抽射偏出近角
50'麦孔再拿球，还是往门里吊，加布里埃尔将球拿到                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
50'波利底线拿球                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
50'传球送后点，麦孔大脚将球解围                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
51'加布里埃尔禁区内滑铲放倒了热尔维尼奥                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
51'点球！！                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
51'加布里埃尔得到一张黄牌！                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
52'斯特鲁特曼点球打右路，成功骗过了门将！                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
52'这下米兰又困难了                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
53'流雲___：米兰换门将，明显是阿帅对米兰的丢球感到不满，猜都能猜出来--阿比亚蒂应该是有些受伤                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
53'罗马队上下半场两个开局都打得不错                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
53'看看米兰接下来还能不能再取得进球                   50'第50分钟，热尔维尼奥左路突进刚过禁区线，被出击的加布里埃尔下铲绊倒，主裁判罗基吹罚点球
56'德希利奥右路传球送禁区内                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
57'巴洛特利拿球摔倒在禁区                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
57'这个球判了巴洛特利犯规                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
57'巴洛特利在转身的时候碰了对方一下                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
59'手机用户2513785291：难道真是2:2--有小道消息么？                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
59'米兰右路进攻被破坏                   56'第56分钟，巴洛特利禁区内与贝纳蒂亚同时倒地，罗基吹巴神犯规
69'『互动话题』欧冠抽签，对于AC米兰来说是不是好签？                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
69'米兰传球送禁区内                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
69'卡卡胸部停球被撞倒                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
69'这球裁判没有吹                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
69'罗马前场拿球转移到左路                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
70'托蒂拿球分到右路                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
70'麦孔右路传球送禁区内，布拉德利头球攻门顶偏                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
71'巴洛特利禁区外围远射打偏                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
71'马特里禁区内拿球先越位了                   68'第68分钟，卡卡禁区内争顶被多多从后撞倒，但罗基没有表示
73'卡卡前场抢球拉人犯规                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
73'卡卡得到一张黄牌！                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
74'蒙托利沃上来争辩也是得到一张黄牌                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
74'原来卡卡在犯规后也鼓掌的动作                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
75'巴洛特利抢断成功                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
75'禁区内底线附近，巴洛特利摔倒了                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
75'裁判还是没有判罚                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
76'布拉德利前场带被博内拉放倒                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
76'托蒂的表演时间到了                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
76'托蒂重炮轰门，这球打高了                   73'第73分钟，卡卡背后拉倒多多，被黄牌警告，他愤怒质问罗基并鼓掌，蒙托利沃也因抗议吃到黄牌，主帅阿莱格里则被罚上看台
77'米兰进球了！！！                   77'AC米兰第77分钟再度追平
77'蒙塔里！！！                   77'AC米兰第77分钟再度追平
78'卡卡左路拿球送禁区内，巴洛特利停球后转身将球传了出来，蒙塔里禁区内得球推近角得分！                   77'AC米兰第77分钟再度追平
79'米兰左路传球送后点                   77'AC米兰第77分钟再度追平
79'没有队友的接应                   77'AC米兰第77分钟再度追平
79'手机用户2513785291：  看看，是不是2:2哥笑了--还真是，不过还有个10多分钟                   77'AC米兰第77分钟再度追平
79'蒙托利沃右边路传球被挡                   77'AC米兰第77分钟再度追平
80'米兰角球送前点，球被顶了出来                   77'AC米兰第77分钟再度追平
83'巴洛特利得到一张黄牌！                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
84'斯特鲁特曼中场的犯规也得到一张黄牌！                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
84'巴洛特利也是为 鸣不平                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
84'德希利奥右路拿球突破到禁区                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
85'传球送中路，罗马队用胸部将球挡了下来                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
85'而米兰球员认为这是个手球                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
85'大禁区线上，罗马队防守犯规                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
85'米兰赢得一个位置极佳的任意球机会                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
85'米兰在将比分扳平后，气势也是上来了                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
86'巴洛特利任意球直接打门，力量很足，但打得太正                   83'第83分钟，斯特鲁特曼放倒巴洛特利，被黄牌警告，下轮将停赛，巴神也因抱怨吃到黄牌
48'结果队友的打门打在了自己球员的头上                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
48'罗马队这边，托蒂开始热身了                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
49'米兰前场边路拿球                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
49'边路的传球被断                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
49'麦孔右路传球送禁区                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
49'米兰抢到第一点将球解围                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
50'麦孔再拿球，还是往门里吊，加布里埃尔将球拿到                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
50'波利底线拿球                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
50'传球送后点，麦孔大脚将球解围                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
51'加布里埃尔禁区内滑铲放倒了热尔维尼奥                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
51'点球！！                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
51'加布里埃尔得到一张黄牌！                   48'补时第3分钟，蒙托利沃中路分球，巴洛特利禁区右侧扣过后卫，在门前11米处左脚低射偏出近门柱
