17'被西班牙人后卫顶出禁区                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
17'门将洛佩斯给到右后卫                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
18'再给到武磊                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
18'给到梅伦多                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
18'再回传给中后卫埃尔莫索                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
19'分到左侧边路的洛佩斯                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
19'长传找右侧后点的队友                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
19'横传禁区被门将内托没收                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
19'西班牙人后场继续控球                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
19'给到左侧的洛佩斯                    17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'再给到中场中间的队友                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'再分到右侧边路                    17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'传中被沃斯解围出底线                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'西班牙人获得角球机会                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'罚到后点                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'队友没有拿好球                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
20'瓦伦西亚获得后场边线球                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
29'瓦伦西亚获得前场任意球                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
29'传到后点 被西班牙人后卫解围                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
29'瓦伦西亚中场传球失误                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
29'武磊给到博尔哈                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
29'博尔哈被瓦伦西亚后卫断下                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
30'瓦伦西亚打出快速进攻                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
30'直塞给到禁区内的加梅罗                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
30'加梅罗起右脚打门                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
30'球打到立柱上弹出                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
30'瓦伦西亚获得角球机会                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
31'给到切里舍夫                    29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
31'被武磊断下                    29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
32'但是队友传球失误                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
32'瓦伦西亚右侧边路沃斯拿球                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
32'再回传给加雷                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
32'隆卡利亚拿球                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
