1'曼联球员弗莱彻一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   1'曼联第1分钟控制局面，但难以敲开对方的铁桶阵
4'里瑟将球处理出底线,曼联获得角球.                   1'曼联第1分钟控制局面，但难以敲开对方的铁桶阵
19'进球啦！！！富勒姆球员西德维尔大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是霍尔特比. 曼联 0-1 富勒姆.                   19'富勒姆第19分钟利用首次进攻取得领先，霍尔特比挑传，反越位成功的前切尔西中场西德维尔12码处铲射左下角入网
22'曼联球员范佩西小禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是拉斐尔.                   19'富勒姆第19分钟利用首次进攻取得领先，霍尔特比挑传，反越位成功的前切尔西中场西德维尔12码处铲射左下角入网
22'曼联球员范佩西小禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是拉斐尔.                   22'第22分钟，拉斐尔禁区右侧边缘外传中远点，范佩西小禁区左侧第一时间左脚凌空抽射偏出
27'曼联球员卡里克大禁区外右脚射门,被防守球员封堵.                   27'第27分钟，马塔右路传中远点，阿什利-扬小角度头球攻门被斯特克伦博格扑出
27'射门!!!曼联球员阿什利-扬小禁区左侧头球,被对方守门员横身扑出.给他传球的是马塔.                   27'第27分钟，马塔右路传中远点，阿什利-扬小角度头球攻门被斯特克伦博格扑出
29'曼联球员卡里克大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   27'第27分钟，马塔右路传中远点，阿什利-扬小角度头球攻门被斯特克伦博格扑出
39'射门!!!曼联球员卡里克大禁区中央右脚射门,被对方守门员横身扑出.                   39'第39分钟，卡里克禁区内劲射被封堵，范佩西禁区右肋10码处再射仍被西德维尔挡出底线
39'曼联球员范佩西大禁区中央左脚射门,被防守球员封堵.                   39'第39分钟，卡里克禁区内劲射被封堵，范佩西禁区右肋10码处再射仍被西德维尔挡出底线
39'西德维尔将球处理出底线,曼联获得角球.                   39'第39分钟，卡里克禁区内劲射被封堵，范佩西禁区右肋10码处再射仍被西德维尔挡出底线
40'射门!!!曼联球员维迪奇大禁区中央头球,被对方守门员横身扑出.给他传球的是马塔.                   39'第39分钟，卡里克禁区内劲射被封堵，范佩西禁区右肋10码处再射仍被西德维尔挡出底线
42'曼联球员弗莱彻一脚直塞球给埃弗拉,但是边裁举旗显示后者已经越位.                   39'第39分钟，卡里克禁区内劲射被封堵，范佩西禁区右肋10码处再射仍被西德维尔挡出底线
49'曼联球员卡里克大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃弗拉.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
49'曼联球员鲁尼大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡里克.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
49'曼联球员范佩西球门线跟前尝试头球,可惜皮球高出右上角球门.给他传球的是埃弗拉.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
51'富勒姆球员西德维尔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是图尼克里夫.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
52'霍尔特比为富勒姆赢得一个任意球.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
52'曼联球员阿什利-扬拼抢犯规,对手获得控球权.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
52'曼联球员鲁尼大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是马塔.                   49'第49分钟，埃弗拉左路传中，范佩西小禁区边缘头球顶偏
51'富勒姆球员西德维尔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是图尼克里夫.                   51'第51分钟，通尼克里夫传球，西德维尔禁区弧顶射门高出
52'霍尔特比为富勒姆赢得一个任意球.                   51'第51分钟，通尼克里夫传球，西德维尔禁区弧顶射门高出
52'曼联球员阿什利-扬拼抢犯规,对手获得控球权.                   51'第51分钟，通尼克里夫传球，西德维尔禁区弧顶射门高出
52'曼联球员鲁尼大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是马塔.                   51'第51分钟，通尼克里夫传球，西德维尔禁区弧顶射门高出
55'射门!!!曼联球员鲁尼大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马塔.                   55'第55分钟，埃弗拉禁区左侧传中被斯特克伦博格扑出，马塔横敲，鲁尼10码处射门被斯特克伦博格神勇单手扑出横梁
55'斯特克伦伯格将球处理出底线,曼联获得角球.                   55'第55分钟，埃弗拉禁区左侧传中被斯特克伦博格扑出，马塔横敲，鲁尼10码处射门被斯特克伦博格神勇单手扑出横梁
56'曼联球员阿什利-扬一脚直塞球给拉斐尔,但是边裁举旗显示后者已经越位.                   55'第55分钟，埃弗拉禁区左侧传中被斯特克伦博格扑出，马塔横敲，鲁尼10码处射门被斯特克伦博格神勇单手扑出横梁
57'富勒姆球员西德维尔拼抢犯规,对手获得控球权.                   55'第55分钟，埃弗拉禁区左侧传中被斯特克伦博格扑出，马塔横敲，鲁尼10码处射门被斯特克伦博格神勇单手扑出横梁
57'马塔为曼联赢得一个任意球.                   55'第55分钟，埃弗拉禁区左侧传中被斯特克伦博格扑出，马塔横敲，鲁尼10码处射门被斯特克伦博格神勇单手扑出横梁
62'曼联换人,贾努扎伊换下弗莱彻                   62'第62分钟，贾努扎伊换下弗莱彻
64'射门!!!曼联球员鲁尼球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是阿什利-扬.                   62'第62分钟，贾努扎伊换下弗莱彻
