1'上半场比赛开始！！                   1'第1分钟国安展开积极冲击，张池明与奥古斯托相继形成外围攻门
1'首先开球的是北京国安队                   1'第1分钟国安展开积极冲击，张池明与奥古斯托相继形成外围攻门
2'奥古斯托中场拿球被侵犯                   1'第1分钟国安展开积极冲击，张池明与奥古斯托相继形成外围攻门
2'国安队任意球转移到右路                   1'第1分钟国安展开积极冲击，张池明与奥古斯托相继形成外围攻门
11'国安队中场重新组织                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
11'杜明洋今天的位置有些靠后                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
11'张呈栋左路拿球进攻上来                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
13'建业中场拿球                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
13'国安队围抢没有拦截下来                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
13'双方今天都没什么压力                   11'国安也在谋求快速冲击，第11分钟，国安经3脚传递形成快攻，张池明外围远射被建业门将王国明没收
27'萨尔马季奇右路起球送禁区                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
27'这球落点并不好                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
27'钟晋宝上抢的时候犯规                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
27'国安队将球转移到右路                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
27'奥古斯托挑传没有过去                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
28'建业这边似乎要调整了                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'龙威下，陈灏上！                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'龙威是表现不好么？                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'建业这边机会啊                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'禁区内进球了                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'但是边裁举旗示意越位了                   27'第27分钟，赵和靖右路前插传中至建业门前，张池明绕在杨阔身前抢射将球打高
29'龙威下，陈灏上！                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
29'龙威是表现不好么？                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
29'建业这边机会啊                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
29'禁区内进球了                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
