15'阿森纳前场险些将球抢断下来                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
15'热刺边路起球被默特萨克头球顶了出来                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
15'阿森纳又获得单刀球机会                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
15'这次是张伯伦                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
16'可是他大禁区前沿的挑射居然是打偏了！！                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
16'他自己也是感到懊恼                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
16'热刺这边前场右路获得定位球机会                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'任意球开进去                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'第一点被阿森纳头球解围                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'禁区外围，萨尼亚将球控了下来                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'阿森纳左路挑传打身后                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'洛里冲出禁区，头球解围                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
18'热刺的后防让人看着多少有些不放心                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
18'罗斯左路强突到底线                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
18'底线的传球送后点，直接出了边线                   15'第15分钟，查德利面对数人包夹摔倒在禁区弧内，裁判麦克-迪恩拒绝判罚
17'任意球开进去                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
17'第一点被阿森纳头球解围                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
17'禁区外围，萨尼亚将球控了下来                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
17'阿森纳左路挑传打身后                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
17'洛里冲出禁区，头球解围                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
18'热刺的后防让人看着多少有些不放心                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
18'罗斯左路强突到底线                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
18'底线的传球送后点，直接出了边线                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
19'汤森德右路禁区内得球后敲到中路                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
19'可惜双方球员都没有碰到这点                   17'第17分钟，埃里克森右路任意球传中，卡布尔头球攻门偏出
27'阿森纳中场送直塞到左路                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
27'队友接球后将球传了一个倒三角                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
27'罗西基的第一点跑过了                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
28'禁区外围张伯伦的远射被后卫碰了一下出了底线                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
28'阿森纳角球机会                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
28'角球送禁区内，科斯切尔尼头球一蹭被洛里得到                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
28'热刺这边右路策动攻势                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
28'边路传球送前点，阿德巴约蹭了一下稍稍偏出远端                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
29'热刺前场右路进攻被放倒                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
30'汤森德准备来主罚这个任意球                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
30'直接打了，球是高出横梁                   27'第27分钟，波多尔斯基左路下底回传，张伯伦禁区边缘外的射门被桑德罗挡出左侧立柱
36'波多尔斯基摆脱防守球员后小角度打门                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
36'这球打在了边网上                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
36'这球力量还是有的，就是角度有点小                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
38'阿森纳前场送直塞                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
38'吉鲁接球的时候越位了                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
39'热刺今天的越位陷阱还是有效果的                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
39'啦滴滴答答啦：热刺即使赢了也得不了冠军了，所以做好人的热刺，不会去赢得【热刺也有自己的目标】                   36'第36分钟，吉布斯传球，波多尔斯基禁区左侧射门打在边网
45'跟萨尼亚有身体接触后倒地                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
45'这球裁判并没有示意犯规                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
45'上半场补时1分钟！                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
45'汤森德右路拿球被吉布斯铲倒                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
45'吉布斯得到一张黄牌！                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'热刺右路任意球开出，威胁不大                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'阿森纳反击的机会                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'萨尼亚右路拿球，看队友没有跑便将球往回带                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'下半场比赛开始！                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'下半场比赛由阿森纳开球                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
46'阿森纳中场转移受阻                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
47'左边路，波多尔斯基带球又被断                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
47'波多尔斯基中场拿球给到吉布斯                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
47'这球稍微给的小了一点被破坏                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
48'热刺带球到禁区里面                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
48'斯泽斯尼出击扑了一下                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
48'第二点热刺拿球没有打门的机会                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
48'热刺右路传球送禁区内                   45'第45分钟，吉布斯对汤森德犯规被罚黄牌
52'阿德巴约前场接球到了禁区弧顶                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
53'分球给到了右路的汤森德                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
53'汤森德底线处将球横扫门前，可惜队友没有包抄到位                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
55'热刺前场拿球还是给边路                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
55'诺顿右路的传球送中路                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
55'落点不是很好                   52'第52分钟，汤森德禁区右侧传中，查德利小禁区边缘错过机会
64'【互动话题】热刺杀入前四还有希望吗？                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
65'阿德巴约禁区外围打远射被挡                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
65'热刺左路起球再送禁区内                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
65'阿德巴约头球又是顶偏了                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
65'不过这球顶的还是非常有威胁                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
66'阿森纳后场解围有些盲目                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
66'球打在热刺球员身上弹到阿森纳禁区内                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
66'好在阿德巴约启动的时候先越位了                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
67'热刺这边要准备做出人员调整                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
67'汤森德右路下底赢得角球机会                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
67'埃里克森角球送后点                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
67'阿森纳两人争到了一起                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
67'好在第二落点是在禁区外围                   64'第64分钟，阿德巴约左路禁区前劲射被挡出，本塔莱布左路传中，阿德巴约小禁区前头球攻门偏出右侧立柱
79'阿森纳中场附近获得任意球机会                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
79'任意球送禁区内，默特萨克侧身打门被洛里扑出                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
79'这个扑救非常关键                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
80'弗拉米尼防守中拉倒了埃里克森                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
80'弗拉米尼又得到一张黄牌！                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
81'hymijlaxfeuke151：我看这场是平局【阿森纳赢面还是比较大的】                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
81'热刺这边准备进行人员调整                   78'第78分钟，科斯切尔尼头球摆渡，默特萨克点球点附近扫射被洛里斯没收
89'阿德巴约禁区外围冷射被斯泽斯尼扑出                   89'第89分钟，西古德森传球，阿德巴约禁区前劲射又被斯泽斯尼救出
89'斯泽斯尼注意力很集中啊                   89'第89分钟，西古德森传球，阿德巴约禁区前劲射又被斯泽斯尼救出
91'下半场补时4分钟！                   89'第89分钟，西古德森传球，阿德巴约禁区前劲射又被斯泽斯尼救出
91'热刺队后场长传，队友险些没有拿到                   89'第89分钟，西古德森传球，阿德巴约禁区前劲射又被斯泽斯尼救出
