32'小法中场突破时被防守队员从身后推倒，犯规                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
32'小法中路控球送出一脚过顶直传，蒙雷尔头球被过顶了，身后的佩德罗停球准备射门，但切赫已经出击到位了！把球扑住！                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
33'佩德罗这个球稍稍停大了一点点！就那么一点点                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
33'阿扎尔左边路带球突破到禁区里，被保利斯塔硬生生的挤出底线！                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
33'穆里尼奥不满意了！！！                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
45'会有红牌吗！？                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
46'科斯塔居然没有被红牌！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
46'科斯塔和裁判说了什么，把保利斯塔叫到身前，红牌直接罚下！！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
47'保利斯塔怒不可遏！！！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
47'这是不是被科斯塔暗算了啊！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
47'温格也是对第四官员说着射门                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
48'慢镜头看，保利斯塔在后退时抬了小腿踢了身后的科斯塔！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
48'这样的小动作实在不应该啊！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
48'不过科斯塔也有表演的性质！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
46'下半场开始了，切尔西开球                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
47'切尔西右边路奥斯卡传中到门前给科斯塔，钱伯斯头球解围出来，佩德罗凌空抽射！！偏出！                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
48'下半场切尔西一开场就是一次很有威胁的进攻                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
48'阿森纳下半场应该作战意图会有改变                   45'第45分钟，迭戈-科斯塔同科斯切尔尼争点时互有推搡发生争执，迭戈-科斯塔起身撞倒科斯切尔尼，又同加布里埃尔发生激烈冲突
53'进球了！！祖马！！！1-0                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
53'此时此刻值得来杯嘉士伯                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
