8'奥古斯丁森掷出来！给到克拉森！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
8'挑传前场左侧！默瓦尔德跟进得球起球传中太大                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
9'莫伊桑德大脚把球解围出去！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
9'出了边线！拜仁的中场右侧边线球！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
10'找前场右侧的拉什卡！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
10'这边艾格斯泰因过来抢球被撞到！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
10'哈维马丁内斯的犯规！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
10'沙欣来主罚！！任意球开出！！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
10'加布雷塞拉谢头球一顶！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
11'球打在防守球员身上出了底线！！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
11' 不莱梅的左侧角球！到禁区前点！                   8'开场8分钟，蒂亚戈左侧开出角球，马丁内斯在门前7米处头球偏出远门柱
59' 有拜仁球员倒地！这边裁判给了维利科维奇 第二张黄牌！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
59'两黄变一红！！维利科维奇被红牌罚下！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
59' 弧顶处的争顶中撞到了聚勒！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
60' 莱万直接打！被人墙挡出！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
60' 还有补射机会！！打偏了！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
61' 拜仁换人了，格雷茨卡换下了哈维马丁内斯！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
61' 不莱梅也换人了！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
61'朗坎普上场了！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
62' 观察一下队友的站位！！直传身前科曼！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
62' 低平球斜传！球打在防守球员身上出了边线！                   59'拜仁第59分钟获得人数优势，科曼禁区左侧做球，莱万在门前13米处抽射被帕夫伦卡封出底线，蒂亚戈左侧角球被破坏，莱万禁区前沿争顶遭到韦利科维奇肘击，韦利科维奇吃到第2张黄牌被罚下
75' 聚勒低平球！！往身前给！                   75'拜仁第75分钟打破僵局
75'基米希被从身后推倒！                   75'拜仁第75分钟打破僵局
77' 聚勒在弧顶处得球！！身前没人逼抢，直接来一脚！皮球有个折射！所以帕夫林卡没能扑倒！拜仁在主场1-0领先                   75'拜仁第75分钟打破僵局
77'漂亮的进球！！                   75'拜仁第75分钟打破僵局
78'拜仁的后场右侧聚勒得球！分左边的博阿滕！                   75'拜仁第75分钟打破僵局
78'往身前给！给到里贝里！                   75'拜仁第75分钟打破僵局
78'回做一下！给身后的博阿滕！                   75'拜仁第75分钟打破僵局
79'基米希横向盘带！！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
79'挑传身前被挡出！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
80' 蒂亚戈分左边路！ 里贝里得球！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
80'自己带球向前突破！！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
80'莱万大禁区左侧得球来一脚！球打在横梁上弹出！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
82'回给身后的博阿滕！！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
82' 低平球！！往身前给                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
82'被克拉森碰出了边线！                   79'莱万第79分钟错过进球，阿拉巴左肋脚后跟做球，莱万禁区前沿射门击中横梁
