1'上半场比赛开始                   1'阿森纳第1分钟就以紧密逼抢压制对手
1'首先由主队阿森纳开球，从画面的左侧向右进攻                   1'阿森纳第1分钟就以紧密逼抢压制对手
1'默特萨克后场拿球，面对逼抢，回传科斯切尔尼                   1'阿森纳第1分钟就以紧密逼抢压制对手
2'科斯切尔尼的后场过顶长传，被摩纳哥球员破坏出边线                   1'阿森纳第1分钟就以紧密逼抢压制对手
2'科奎林中场拿球，过顶长传找维尔贝克                   1'阿森纳第1分钟就以紧密逼抢压制对手
3'维尔贝克靠着防守球员，停球转身，一气呵成                   1'阿森纳第1分钟就以紧密逼抢压制对手
3'可惜最后趟入禁区的打门，放了高射炮                   1'阿森纳第1分钟就以紧密逼抢压制对手
4'贝尔巴托夫中场拿球，科斯切尔尼转身回防，卡住身位将球拦截                   1'阿森纳第1分钟就以紧密逼抢压制对手
4'科斯切尔尼背身拿球，面对摩纳哥球员的围抢，脚后跟传球，过度给到桑切斯                   1'阿森纳第1分钟就以紧密逼抢压制对手
4'桑切斯的过顶球找吉鲁，可惜力量稍大了一点                   1'阿森纳第1分钟就以紧密逼抢压制对手
33'穆蒂尼奥拿球强突，直塞找贝尔巴托夫                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
33'贝尔巴托夫前场争抢中倒地，裁判没有表示，球被阿森纳球员控制                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
33'厄齐尔前场拿球，横传禁区找桑切斯                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
34'桑切斯原地摆腿抽射，可惜是个高射炮                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
34'科奎林中场拿球，左脚的斜传球到右侧找前插的贝莱林                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
35'贝莱林停球，面对防守球员，右脚直接搓传禁区，可惜高出横梁，出了底线                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
