1'上半场比赛开始                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
1'首先由身穿蓝衣蓝裤的切尔西，从画面的右侧向左侧进攻                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
2'阿扎尔左路强突，被大本哈伊姆破坏                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
3'界外球进场，切克和米托维奇争抢时，切克被吹蹬踏犯规                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
3'切克被主裁判出示了黄牌警告！！！                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
3'比赛才开始1分多钟，切尔西这边先是黄袍加身了！！                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
4'阿扎尔左路拿球，大范围转移球到右路                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
4'雷米前插接应，和蒂比争抢，被吹推人犯规                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
6'雷米的直塞到禁区，威廉前插接应，趟球后被拉耶科维奇扑倒在地                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
6'切尔西获得点球机会                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
6'同时拉耶科维奇被主裁判出示了黄牌警告！！！                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
6'阿扎尔主罚，直接踢飞啦！！！                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
7'这球阿扎尔太追求角度，右脚大力抽射球门左上角，直接放了高射炮！！！                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
8'切尔西前场再攻，右路传中被后卫破坏出边线                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
9'阿扎尔拿球，横切到禁区弧顶，拔脚怒射，打飞                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
9'小法中场拿球，面对逼抢，分边左路给到巴巴                   6'切尔西第6分钟错失良机，雷米直传，威廉禁区右侧被拉伊科维奇出击扑倒，客队门将被黄牌警告，阿扎尔主罚点球射飞，他3次在欧冠主罚点球全部射失
15'切尔西的后场左路界外球                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
15'阿扎尔前场中路拿球，强突被什蓬金绊倒在地                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
15'切尔西再次获得前场中路的任意球机会                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
15'进球啦！！！                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
16'威廉的任意球，破门！！！                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
16'威廉任意球斜传球到禁区，没人碰到，球弹地后，飞跃拉耶科维奇的手指，直接窜进球门右上角！！！                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
17'这球有点意外，可以说是拉耶科维奇的失误送礼                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
18'威廉这边好像有点受伤了，在场上一瘸一拐的                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
18'小法前场中路拿球，强突后直接起脚远射，被马卡比球员用身体挡出                   15'切尔西第15分钟取得领先，威廉任意球传入禁区，但卡希尔抢点错过皮球，皮球弹地后紧贴右侧立柱入网
31'小本哈伊姆前场背身拿球，巴巴身后上抢，踢翻了小本哈伊姆                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
31'马卡比获得前场右路的任意球机会                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
31'米托维奇任意球斜传到门前，扎哈维抢点，头球顶高                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
32'这球相当危险，扎哈维身边都没蓝军防守球员啊，可惜顶高了                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
32'阿扎尔左路拿球，面对什蓬金的防守，转身强突                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
32'大本哈伊姆补防，将球碰出了底线                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
33'切尔西获得左侧角球机会，可惜没能形成威胁                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
33'阿斯皮利奎塔右路拿球，面对伊吉耶博尔的上抢                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
34'阿斯皮利奎塔停球变向，趟球后被伊吉耶博尔伸脚绊倒在地                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
34'伊吉耶博尔被主裁判出示了黄牌警告！！！                   31'马卡比第31分钟险些破门，米特洛维奇右路任意球传中，扎哈维12码处头球攻门高出
58'切尔西后场过顶长传找前插的雷米                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
58'雷米停球，遭遇马卡比多人围抢，回带被破坏出边线                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
59'切尔西进球，3-0！！！                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
59'科斯塔的侧身凌空垫射破门！！！                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
60'小法禁区外拿球，右脚搓传到点球点附近，科斯塔靠着什蓬金侧身右脚垫射，打进球门右侧！！！                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
61'切克左路拿球，强突，禁区线外被艾尔伯曼放铲带倒在地                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
61'切尔西获得位置不错的任意球机会                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
