2'胡尔城界外球进场，瓦伦西亚上抢，将球破坏                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
2'胡尔城前场进攻，左路的进攻，恩多耶头球攻门，太正了，被德赫亚将球拿到                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
3'不好意思，首发有误，曼联首发门将是前巴萨主力巴尔德斯！！！                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
3'曼联前场进攻，鲁尼的禁区外远射，打飞                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
4'比赛开始后，胡尔城大举压上，进攻将是他们本场比赛的主旋律                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
5'曼联左路的过顶长传找前插的迪马利亚                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
5'迪马利亚拿球下底挑传中间，球被胡尔城球员抢先解围                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
5'琼斯后场拿球，带球过了中线，直塞给到阿什利-杨                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
18'胡尔城右路进攻，艾莫哈马蒂强突，罗霍放铲带倒了艾莫哈马蒂，犯规                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
18'胡尔城获得了前场右侧的任意球机会                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
18'任意球斜传禁区，巴尔德斯扑球脱手                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
19'梅勒补射被挡，麦克肖恩门前再打，打进，可惜越位在先，进球无效！！！                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
20'胡尔城前场进攻，左路的起球到后点，艾莫哈马蒂的头球冲顶，巴尔德斯世界级扑救，将球扑出底线                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
20'胡尔城获得右侧的角球机会                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
21'角球开出到禁区到后点，昆尼停球，左脚抽射，恩多耶门前一挡，再进网，可惜又是越位在先，无效啊！！！                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
21'胡尔城这段时间的进攻火力很猛，连续打进2球，可惜都是越位在先                   18'第18分钟，胡尔城开出任意球，巴尔德斯出击失误，麦克沙恩将球打进，但被判越位
48'马塔拿球再攻，禁区线上分球右侧给安德尔                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
48'安德尔停球一趟，起脚打门，被道森倒地封堵                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
49'胡尔城前场再攻，梅勒中路跟进，无人防守下的起脚打门，踢飞                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
49'布鲁斯在场边很激动，直接将手里的水平扔在了地上                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
50'恩多耶右侧靠近底线位置拿球，转身人球分过，被罗霍将球断掉                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
50'罗霍转移球到右路给瓦伦西亚                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
51'瓦伦西亚直塞被断，布林德放铲再抢，带倒了霍德斯通                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
51'胡尔城获得了大禁区左侧端线上的任意球机会                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
