6'胡人天突破被放倒，前场任意球机会                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
6'欢迎各位球迷捧场！如果有进球，请无情的发贺电！                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
6'任意球直接打门，太远啦，刘殿座没收                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
7'天津球迷在哪儿？申鑫球迷在哪儿？                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
7'查尔顿突破到禁区内，在李玮锋的防守下球出底线                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
7'角球机会                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
7'噢，吹了李玮锋的犯规，上海申鑫队前场右翼任意球机会                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
8'任意球发到禁区内，对方解点破坏出来                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
8'中场上海申鑫队断球长传，宗磊出击没收                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
8'天津泰达队长传，横传禁区！慢啦                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
8'瓦伦西亚慢啦，被上海申鑫队把球控下来                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
9'黄声扌昜-：我先发来贺电预订一下，泰达进回复[天津球迷！]                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
9'看天津队的进攻                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
9'攻到中场，怎么传都不合适，只好回传一脚                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
9'黄声扌昜-：我先发来贺电预订一下，泰达进回复[天津球迷！]                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
9'看天津队的进攻                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
9'攻到中场，怎么传都不合适，只好回传一脚                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
10'别让风吹走梦：泰达加油回复[加油加油！！申鑫球迷在哪儿？]                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
10'天津泰达队直传禁区，麻烦啦！还好对方破坏                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
10'上海申鑫队中路快速反击，李玮锋犯规                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
10'任意球快速发到禁区内，好悬啊！单刀！                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
11'不过刘峻楠越位在先！                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
11'天津泰达队长传前场右路，瓦伦西亚快速前插                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
11'瓦伦西亚回传球，交给聊博超                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
11'天津泰达队挑传禁区，胡人天已经到位，于涛把球破坏出底线，角球机会                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
12'角球发到禁区中路，对方抢点顶出来，球从另一侧出底线，继续角球                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
12'杜震宇来主罚角球                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
12'杜震宇发角球到禁区内，李玮锋吧，头球顶得好高                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
12'见高不见远，谈不上对球门的威胁                   9'天津队逐步将阵型压上，第9分钟，王新欣长传巴雷，巴雷右翼插上传中，跟上的瓦伦西亚在对方后卫干扰下点球点附近停球，脚下一滑摔倒
15'上海申鑫队长传球，进攻队员犯规                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
15'瓦伦西亚前场右路拿球                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
15'分边，天津泰达队右路横传禁区，瓦伦西亚侧身打门，没打好！                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
15'前场天津泰达队断球，左路组织进攻                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
15'杜震宇得球回传一下，队友再传球被断                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
16'杨家威左路带球突破，在对方逼抢下球出边线                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
16'聊博超的防守真到位                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
16'中后场上海申鑫队断球左路反击，周海滨抢球犯规                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
