10'本赛季多特伤病实在太多了，否则肯定会有更好的发挥。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
10'诺伊尔活动范围非常大啊，禁区外将球破坏出去。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
11'黄牌，马丁内斯放倒了奥巴梅杨。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
11'这场罗伊斯打中锋，看看效果。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
11'一个位置很不错的任意球                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
12'皮球开出来直接被诺伊尔拿到，快速反击时候格罗斯克罗伊茨对里贝里犯规了。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
12'不知道本场莱万没上和下赛季的转会有没有关系啊。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
13'-PlusKian-这辈子不当踩线生 :不是奥巴梅杨中锋么------从场上的位置来看，还是奥巴梅杨打边路。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
15'多特反击也打得很快，丹特还是很稳的破坏了。                   15'拜仁前15分钟控球率达到80%
15'皇家车队 :这场算是德国德比吗?------我的理解是算                   15'拜仁前15分钟控球率达到80%
16'用户et76brb0vg :我是来替青春风暴默哀的，欧冠那场球真的不甘心！------姆希塔良心里肯定不是滋味。                   15'拜仁前15分钟控球率达到80%
16'开场15分钟了，比分依旧是0比0.                   15'拜仁前15分钟控球率达到80%
17'罗本快速带球被胡梅尔斯干净的拿下了，周中的比赛罗本表现也挺出色。                   15'拜仁前15分钟控球率达到80%
17'刚才图片中的球员就是曼朱基齐！                   15'拜仁前15分钟控球率达到80%
18'用户ppbz5nkvkq :更新有点慢，雯雯是不是看罗伊斯看呆了？------不是哦~雯雯看的是网络直播，有延迟的                   15'拜仁前15分钟控球率达到80%
20'拜仁一个战术，低平球给到点球点，格策打门被后卫挡出。                   20'多特第20分钟取得领先
20'似乎是一个手球，但是慢镜头回放显示打到了头上。                   20'多特第20分钟取得领先
20'多特进球了！！                   20'多特第20分钟取得领先
20'姆希塔良！！                   20'多特第20分钟取得领先
22'多特右路的界外球直接掷向禁区内，球漏到了后点，姆西塔良面对门将推射远角入网！                   20'多特第20分钟取得领先
22'多特又一次进攻，获得角球，但是开出来以后被门将直接拿到。                   20'多特第20分钟取得领先
23'多特连续进攻，这边奥巴梅杨又一次传中！但是没人接应                   20'多特第20分钟取得领先
48'下半场比赛看上去拜仁有些不好打啊，这个换人似乎是被迫做出的人员调整。                   47'2分钟后，姆希塔良分球，奥巴梅扬左侧禁区边缘大力抽射被诺伊尔托出近角
49'上半场双方主要是在中场搏斗，真正的机会都不多。                   47'2分钟后，姆希塔良分球，奥巴梅扬左侧禁区边缘大力抽射被诺伊尔托出近角
49'罗本继续右路盘带，还是没有完成过人。                   47'2分钟后，姆希塔良分球，奥巴梅扬左侧禁区边缘大力抽射被诺伊尔托出近角
49'罗本角球开出来被后卫定出来，多特快速反击进球！！！                   47'2分钟后，姆希塔良分球，奥巴梅扬左侧禁区边缘大力抽射被诺伊尔托出近角
50'多特后场断球反击，姆西塔良的转移球给到奥巴梅扬，奥巴梅扬的回敲给到中路，罗伊斯铲射入网！！                   47'2分钟后，姆希塔良分球，奥巴梅扬左侧禁区边缘大力抽射被诺伊尔托出近角
43'皇家车队 :专业的主播，你好，请问任意球和定位球的区别是什么------角球也算定位球啊。                   43'第43分钟，拉菲尼亚右路挑传，曼朱基奇在门前12米处侧身凌空勾射被魏登费勒倒地没收
43'拜仁上半场最有威胁的一次进攻！                   43'第43分钟，拉菲尼亚右路挑传，曼朱基奇在门前12米处侧身凌空勾射被魏登费勒倒地没收
44'罗本右路传中，曼朱基齐在侧身凌空打门，没有打上力量。                   43'第43分钟，拉菲尼亚右路挑传，曼朱基奇在门前12米处侧身凌空勾射被魏登费勒倒地没收
45'[qiangda]拜仁本赛季打平了几场比赛呢？                   43'第43分钟，拉菲尼亚右路挑传，曼朱基奇在门前12米处侧身凌空勾射被魏登费勒倒地没收
46'好的，上半场比赛结束了！                   43'第43分钟，拉菲尼亚右路挑传，曼朱基奇在门前12米处侧身凌空勾射被魏登费勒倒地没收
49'上半场双方主要是在中场搏斗，真正的机会都不多。                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
49'罗本继续右路盘带，还是没有完成过人。                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
49'罗本角球开出来被后卫定出来，多特快速反击进球！！！                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
50'多特后场断球反击，姆西塔良的转移球给到奥巴梅扬，奥巴梅扬的回敲给到中路，罗伊斯铲射入网！！                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
