4'朗格莱头球解围，左侧内少继续攻击                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
4'横拨梅西，在回敲给皮克，左侧小白拿球                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
4'观察一下， 在给布教授，右侧找到拉基蒂奇，在选择回敲                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
4'皮克转移给到小白，撞墙配合，直塞向前找梅西                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
5'梅西外围突施冷箭，哇塞。。。击中横梁下沿，弹出来了                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
5'弧顶内的左脚大力爆射，，里科甚至毫无反应                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
6'朗格莱左侧给到埃斯库德罗，直接出了边线                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
6'皮克后场控球，压过半场，左侧分内少                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
6'带球突破，和梅西撞墙，马里亚诺捅回给里科                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
6'大脚踢出来                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
6'罗贝托右侧把球拦截，转移到左侧乌姆蒂蒂，低传身前内少                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
7'梅西过来接应，梅西复出首发，状态不俗啊                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
7'梅西带球向前，自己脚下绊蒜，被恩宗齐破坏                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
7'小白左侧马上一个反抢，低传送直塞                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
7'小禁区左侧内少插上，横拨门前，太靠近门将了                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
16'巴萨左侧回敲给皮克，在给特尔施特根，右侧找罗贝托                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
16'回敲小马哥，观察一下，在回敲给门将                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
16'特尔施特根左侧交给乌姆蒂蒂，向前找内少                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
16'边路连续的斩杀，最后一下趟大了                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
16'帕雷哈拦截下来，右侧给科雷亚                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
17'顺势转身，人球分过，皮克失位了，，，拉人犯规                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
17'皮克吃到黄牌，已经累计5张了，下轮停赛                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
17'塞维利亚右侧定位球，吊向禁区内                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
17'皮克第一点顶出边线                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
18'塞维利亚右侧把球交出来，禁区前沿，右侧伊波拉隐蔽的做球                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
18'这球给的太妙，恩宗齐插上，小禁区右角单刀了                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
18'面对出击的特尔施特根，小角度推射，被门将挡出底线                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
