1'上半场比赛开始                   1'第1分钟，山东鲁能气势更盛
1'鲁能泰山队中路进攻，压得好靠前啊                   1'第1分钟，山东鲁能气势更盛
1'鲁能泰山队右路直传，下底横传禁区，对方破坏出来                   1'第1分钟，山东鲁能气势更盛
1'蒿俊闵右路下底，对方把球破坏出底线                   1'第1分钟，山东鲁能气势更盛
2'角球快速发出来，鲁能泰山队右路传球，对方破坏                   1'第1分钟，山东鲁能气势更盛
2'邱卡右路横传禁区，对方后卫踢得好高，王大雷出击摘球，对方犯规啦                   1'第1分钟，山东鲁能气势更盛
2'鲁能泰山队左路攻到中场，郑铮突破出边线                   1'第1分钟，山东鲁能气势更盛
3'前场辽宁宏运队断球，中路突破斜传禁区，一对一的情况下金敬道把球破坏出底线                   1'第1分钟，山东鲁能气势更盛
3'辽宁宏运队得到角球机会                   1'第1分钟，山东鲁能气势更盛
3'丁海峰发角球到禁区内，双方都没能碰到，皮球落地后弹出禁区                   1'第1分钟，山东鲁能气势更盛
4'张鹭大脚开球到前场，鲁能泰山队把球控下来                   1'第1分钟，山东鲁能气势更盛
4'阿洛伊西奥右路突破脚后跟传球，对方把球抢断下来                   1'第1分钟，山东鲁能气势更盛
9'海阔云飞扬：辽宁兄弟们！鲁能朋友们！不要被水军挑拨！我们文明看球[回复]对，山东辽宁是一家！大家文明聊球                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
9'...鲁能泰山队右路横传，杨旭后点回做，乌索高速插上打门，被门将扑住！                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
10'就目前来看，鲁能泰山队攻击力还是很强的！他们主场作战，就是打攻势足球                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
10'汪强在中场抢球犯规啦                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
10'后场鲁能泰山队得球，右路攻到前场，直传球再过渡右路，被断                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
11'中场汪强铲球再次犯规！放倒了波利                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
11'郑铮后场争顶，对方推人犯规                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
12'张野左路突破，对方犯规啦，前场任意球机会                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
12'任意球发到禁区内，对方抢点顶出来                   9'第9分钟，刘彬彬边路传中，杨旭得球横传门前，乌索快速跟进包抄射门，球被张鹭倒地没收
16'王永珀中路突破一脚远射，被对方挡出来                   16'第16分钟，山东鲁能打破场上僵局
16'刘彬彬前场断球，回传一下，左路策动进攻                   16'第16分钟，山东鲁能打破场上僵局
16'主裁判指向点球点！！！鲁能泰山队点球！！！                   16'第16分钟，山东鲁能打破场上僵局
17'乌索挑传禁区！金裕晋拉人犯规！放倒了阿洛伊西奥！主裁判判了极刑                   16'第16分钟，山东鲁能打破场上僵局
18'阿洛伊西奥主罚点球！骗过了张鹭！球进啦！                   16'第16分钟，山东鲁能打破场上僵局
19'鲁能泰山队攻到前场，蒿俊闵突破一脚打门，皮球擦着立柱出了底线！                   16'第16分钟，山东鲁能打破场上僵局
18'阿洛伊西奥主罚点球！骗过了张鹭！球进啦！                   18'第18分钟，山东鲁能快速反击，蒿俊闵拿球突破到禁区线附近后突然远射，球擦着立柱打在了边网上
19'鲁能泰山队攻到前场，蒿俊闵突破一脚打门，皮球擦着立柱出了底线！                   18'第18分钟，山东鲁能快速反击，蒿俊闵拿球突破到禁区线附近后突然远射，球擦着立柱打在了边网上
20'辽宁宏运队左路斜传球到禁区内，皮球从后点出底线                   18'第18分钟，山东鲁能快速反击，蒿俊闵拿球突破到禁区线附近后突然远射，球擦着立柱打在了边网上
21'鲁能泰山队右路进攻，传球出边                   18'第18分钟，山东鲁能快速反击，蒿俊闵拿球突破到禁区线附近后突然远射，球擦着立柱打在了边网上
32'[互动话题]辽宁宏运队落后也加强了进攻，大家预测上半场还能有进球吗？A、能 B、不能[qiangda]                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
32'辽宁宏运队右路传球，汪强大脚破坏                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
33'辽宁宏运队右路传中，波利抢点顶门，好悬啊                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
33'鲁能泰山队有队员受伤倒在中场，是金敬道！                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
33'金敬道是在中场控球时，被金泰延背后顶了一下                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
34'这两人都朝鲜族人                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
34'今天济南的天气好热，队员的体能消耗比较大                   32'第32分钟，辽宁宏运队杨超声边路突破后送出弧线球传中，波利无人防守下头球攻门稍稍顶高
42'王永珀发任意球到禁区外围，跟上队员打门，被挡出来！！                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
42'门将人太多了，这种低平球很难打进！                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
42'刘彬彬右路横传禁区，阿洛伊西奥冲顶偏出！！                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
43'波利左路带球突破，金敬道防守犯规                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
44'乌索带球快速攻到前场，分右睡，杨旭横传，王永珀插上想分球，倒地后的打门偏出！                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
45'辽宁宏运队右路下底横传门前，杨旭回防把球顶出底线                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
45'要注意啊，杨旭是前锋，在自家门前要注意                   42'第42分钟，刘彬彬边路送出妙传，无人防守的阿洛伊西奥后插上头球攻门，可惜打在了边网上
46'辽宁宏运队发角球到禁区内，主裁判的哨子响了，双方抢位时互有动作                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'上半场要补时 1 分钟                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'角球发到禁区内，鲁能泰山队断球，阿洛伊西奥要快速反击，杨超声绊人犯规！！吃到了黄牌                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'鲁能泰山队在前场一脚远射！被张鹭没收                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'上半场比赛结束，鲁能泰山队1-0领先辽宁宏运队！                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'下半场比赛开始                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'波利脚后跟传球，杨超声一脚推射，擦着立柱偏出！！                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'王大雷有些生气                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
46'王大雷大脚开门球，直接开出边线                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'鲁能泰山队右路攻到前场，对方断球回传门将                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'辽宁宏运队右路长传，被断                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'下半场辽宁宏运队明显加强了进攻                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
47'王永珀后场得球，对方战术犯规                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
48'王大雷大脚开球到前场，鲁能泰山队右睡进攻                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
48'右路传球到禁区内，乌索头球顶门，稍远了点，还是把球顶偏                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
49'金裕晋左路强突，乌索卡位不错，金裕晋反抢犯规                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
49'鲁能泰山队大脚开球到前场，王永珀争顶犯规                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
49'辽宁宏运队攻到前场，又是杨超声一脚远射，打偏                   46'下半场刚刚开始1分钟，山东鲁能差点丢球，波利禁区前沿带球突然脚后跟妙传，杨超声得球形成单刀，面对王大雷选择推射，球越过王大雷却被立柱挡出底线
51'鲁能泰山队长传球，刘彬彬接球突破，对方把球破坏                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
