1'比赛开始了                   1'双方第1分钟均显得小心谨慎
2'开场之后，热刺的进攻更加犀利啊，右路频频突破                   1'双方第1分钟均显得小心谨慎
2'戴尔中路控球，传到右路找队友，可惜队友没有跟上，错失一次机会                   1'双方第1分钟均显得小心谨慎
3'热刺目前在前场利用主场优势压制住了阿森纳队                   1'双方第1分钟均显得小心谨慎
3'热刺左路突破到进去，是孙兴民！到禁区内被阿森纳破坏                   1'双方第1分钟均显得小心谨慎
4'球又来到了热刺队的脚下，之前阿森纳遭遇了客场两连败，而热刺已经8场不败了                   1'双方第1分钟均显得小心谨慎
27'奥巴梅杨倒在了地上，裁判示意比赛继续                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
27'热刺进攻传球到进去，哈里-凯恩头球攻门稍稍高出！！裁判同时哨响！越位                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
27'慢镜头显示，这球并不越位啊！                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
28'埃里克森这球传到禁区，很准啊！裁判误判啊                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
29'热刺前场组织进攻，戴尔拿球组织，穆斯塔菲的把球碰出底线，角球                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
29'热刺的第四个角球                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
30'登贝莱！！！禁区内右侧抽射！！！戴尔垫了了一脚，有个折射，切赫稳定啊，把球拿到                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
30'这个球中途变线，切赫还是稳稳把球拿到，真棒！                   27'热刺第27分钟错过绝佳机会，埃里克森左路斜传，反越位成功的哈里-凯恩小禁区前头球攻门高出
49'热刺右路大脚传球到禁区内，这是戴尔的传球，凯恩头球攻门偏出了球门一点点啊！！                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
