16'凯舍里尼将球处理出底线,尤文图斯获得角球.                   16'开场16分钟，尤文首次射门就取得领先
16'进球啦！！！尤文图斯球员阿莱士-桑多罗球门左侧小角度头球,球从右下角飞进球门,球进了!助攻的是道格拉斯-科斯塔. 克罗托内 0-1 尤文图斯.                   16'开场16分钟，尤文首次射门就取得领先
19'贝纳蒂亚将球处理出底线,克罗托内获得角球.                   16'开场16分钟，尤文首次射门就取得领先
57'曼德拉格拉为克罗托内赢得一个任意球.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
57'尤文图斯球员马图伊迪拼抢犯规,对手获得控球权.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
57'为克罗托内在对方半场,赢得一个任意球.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
57'尤文图斯球员贝纳蒂亚拼抢犯规,对手获得控球权.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
59'射门!!!克罗托内球员Davide Faraoni小禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是斯托扬.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
59'克罗托内球员 巴伯里斯大禁区左侧左脚射门,被防守球员封堵.给他传球的是Davide Faraoni.                   57'第57分钟出现争议，贝纳蒂亚禁区内护球，身后紧逼的西米伸脚尖一捅被斯琴斯尼没收，但主裁判法布里却认定贝纳蒂亚回传，判给克罗托内左侧小禁区角上的间接任意球
65'进球啦！！！克罗托内球员斯米大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是特罗塔. 克罗托内 1-1 尤文图斯.                   65'第65分钟，克罗托内左路传中，巴尔贝里斯后点顶回中路，特罗塔左脚凌空扫射踢呲，但西米在门前11米处倒钩入左下角，1比1
68'克罗托内球员卡普阿诺拼抢犯规,对手获得控球权.                   65'第65分钟，克罗托内左路传中，巴尔贝里斯后点顶回中路，特罗塔左脚凌空扫射踢呲，但西米在门前11米处倒钩入左下角，1比1
68'道格拉斯-科斯塔为尤文图斯在左路,赢得一个任意球.                   65'第65分钟，克罗托内左路传中，巴尔贝里斯后点顶回中路，特罗塔左脚凌空扫射踢呲，但西米在门前11米处倒钩入左下角，1比1
68'尤文图斯换人,Juan Cuadrado换下斯图若多                   65'第65分钟，克罗托内左路传中，巴尔贝里斯后点顶回中路，特罗塔左脚凌空扫射踢呲，但西米在门前11米处倒钩入左下角，1比1
