7'何塞-冯特将球处理出底线,利物浦获得角球.                   6'第6分钟，斯图里奇快速反击中突入禁区右侧传中苏亚雷斯，丰特拦截解围
7'拉拉纳将球处理出底线,利物浦获得角球.                   6'第6分钟，斯图里奇快速反击中突入禁区右侧传中苏亚雷斯，丰特拦截解围
8'斯内德林将球处理出底线,利物浦获得角球.                   6'第6分钟，斯图里奇快速反击中突入禁区右侧传中苏亚雷斯，丰特拦截解围
9'利物浦球员库蒂尼奥大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   6'第6分钟，斯图里奇快速反击中突入禁区右侧传中苏亚雷斯，丰特拦截解围
16'进球啦！！！利物浦球员Luis Suarez大禁区中央右脚射门,球从右下角飞进球门,球进了! 南安普敦 0-1 利物浦.                   16'利物浦第16分钟取得领先，斯图里奇禁区前丢球，但皮球打在丰特腿上偏转，苏亚雷斯12码处单刀推射破门，这是他本赛季第24粒联赛入球，终结了近期412分钟的进球荒
19'南安普敦球员何塞-冯特一脚直塞球给J-罗德里格斯,但是边裁举旗显示后者已经越位.                   16'利物浦第16分钟取得领先，斯图里奇禁区前丢球，但皮球打在丰特腿上偏转，苏亚雷斯12码处单刀推射破门，这是他本赛季第24粒联赛入球，终结了近期412分钟的进球荒
22'利物浦球员Luis Suarez大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   22'第22分钟，苏亚雷斯25码处任意球射门稍稍高出
32'南安普敦球员拉拉纳大禁区中央左脚射门,命中门柱左侧立柱.给他传球的是兰伯特.                   32'南安普敦第32分钟险些扳平比分，兰伯特接杰伊-罗德里格斯右路传中头球摆渡，拉拉纳8码处低射打中左侧立柱弹回
33'南安普敦球员拉拉纳大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是肖.                   32'南安普敦第32分钟险些扳平比分，兰伯特接杰伊-罗德里格斯右路传中头球摆渡，拉拉纳8码处低射打中左侧立柱弹回
34'南安普敦球员J-罗德里格斯大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是兰伯特.                   32'南安普敦第32分钟险些扳平比分，兰伯特接杰伊-罗德里格斯右路传中头球摆渡，拉拉纳8码处低射打中左侧立柱弹回
34'南安普敦球员J-罗德里格斯大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是兰伯特.                   34'第34分钟，兰伯特传球，杰伊-罗德里格斯禁区右侧挑射高出横梁
