2'这球是直接给出了底线                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'杨程门球开出                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'中圈附近拼抢，王燊超挡出                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'胡尔克和尹鸿博拼抢，尹鸿博直接是被绿巨人撞了个跟头                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'裁判吹了胡尔克的犯规                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'后场右侧给高准翼，在给埃尔纳内斯，回敲任航                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
2'长传，，前场被石柯解围                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
3'左侧武磊拿球，高速奔袭，突破过人                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
3'杀入禁区，左肋倒三角低传                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
3'禁区内被解围出来                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'外围右侧王燊超拿球，突施冷箭                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'球是被杨程直接没收                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'大脚开出来                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'前场右侧张卫防守踢出底线                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'华夏右侧角球机会                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'埃尔纳内斯开起来                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
4'小禁区前沿，任航包抄，头球攻门，，偏出                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
5'里皮今天也是来到现场观战                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
5'颜骏凌大脚开起来                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
5'后场埃尔纳内斯把球拦截，在给到高准翼                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
5'回敲杨程，再起长传                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
