1'上半场比赛开始！                   1'双方第1分钟均显得小心谨慎
1'上半场由身穿粉红色球衣的皇马开球                   1'双方第1分钟均显得小心谨慎
1'沙尔克身穿蓝衣白裤                   1'双方第1分钟均显得小心谨慎
2'内田笃人右路的长传球，佩佩卡住位置回传给门将                   1'双方第1分钟均显得小心谨慎
2'卡西利亚斯大脚往前开                   1'双方第1分钟均显得小心谨慎
2'还是沙尔克中场控球，内田笃人的直传失误                   1'双方第1分钟均显得小心谨慎
2'佩佩长传前场，C罗争高球时先推人犯规                   1'双方第1分钟均显得小心谨慎
4'马塞洛左路长传到禁区，本泽马前插稍快，越位了                   1'双方第1分钟均显得小心谨慎
4'沙尔克门将魏伦罗伊特面孔来看相当年轻啊                   1'双方第1分钟均显得小心谨慎
4'内田笃人右路直传，瓦拉内补防过来将球一端                   1'双方第1分钟均显得小心谨慎
18'本泽马自己带球时失误                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
18'霍格尔右路的传球也是太大了，马塞洛将球回传给门将                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
19'卢卡斯-席尔瓦外围尝试一脚远射，球擦着左边立柱出了底线                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
19'内田笃人推进上来，回传给诺伊施奈特                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
19'后者的传中球直接送到卡西利亚斯怀里                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
21'亨特拉尔出来迎球，分到左路                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
21'奥戈禁区边缘大力抽射直接打飞                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
21'克罗斯中场控制一下，将球转移到右路                   18'皇马首次射门出现在第18分钟，但卢卡斯-席尔瓦远射偏出
26'比赛进行了25分钟，场上比赛还是0-0，双方也基本上拉成均势                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
26'皇马突然找到机会，C罗破门了                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
27'卡尔瓦哈尔右路拿球，调整到左脚斜传禁区，对方靠越位失败，C罗插上面对门将头球破门！                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
28'拖在最后的是沙尔克中后卫马蒂普                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
28'取得重要的客场进球后皇马气势也起来了                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
28'亨特拉尔在前场对抗后倒地                   26'皇马第26分钟取得领先，卡瓦哈尔右路传中，无人防守的C-罗纳尔多8码处头球破门
