1'随着裁判的一声哨响，上半场比赛开始了                   1'切尔西第1分钟试图控制比赛
1'切尔西开出皮球                   1'切尔西第1分钟试图控制比赛
1'吉鲁头球被抢断                   1'切尔西第1分钟试图控制比赛
2'西汉姆联边线球                   1'切尔西第1分钟试图控制比赛
2'大脚传到禁区被门将没收                   1'切尔西第1分钟试图控制比赛
3'科瓦契奇直塞球，被法比安斯基断下了                   1'切尔西第1分钟试图控制比赛
4'门将大脚开球                   1'切尔西第1分钟试图控制比赛
4'后场阿隆索得到球                   1'切尔西第1分钟试图控制比赛
4'球传给若日尼奥                   1'切尔西第1分钟试图控制比赛
45'阿扎尔传给边路，威廉直接传中                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
45'坎特的头球                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
45'偏出了                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
46'坎特上半场抢了好几个头球了，可惜都没顶正                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
46'上半场比赛结束                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
46'后场右路的一记长传，中圈附近，科瓦契奇断球了                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
47'一路杀到了前场左侧，直塞球                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
47'吉鲁卡位置犯规了                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
47'西汉姆联的任意球                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
48'安德森压倒前场左侧，一记挑传                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
48'亚尔莫连科带球传中                   45'第45分钟，阿扎尔内切斜传，威廉禁区右侧凌空垫传，坎特10码处头球攻门偏出左侧立柱
