13'恒大淘宝将球分右路，张琳芃推进上来                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
13'交给郜林再回传给王上源                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
13'郜林右路强突，陈柏良将球卡住，郜林反抢时绊人犯规                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
14'埃尔克森先开纪录！                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
15'埃尔克森首先是禁区外倒钩打到禁区，布拉比头球顶出来又落在埃尔克森面前，埃尔克森凌空打门，球的力量并不大，但在地面弹了两下后击中左边立柱弹进大网，顾超对球的来势准备不足                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
16'这球在入网前大家可能都觉得会出界                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
16'陈柏良中路带球推进，郑智拉人犯规                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
16'王林长传被赵旭日拦截                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
16'这球在入网前大家可能都觉得会出界                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
16'陈柏良中路带球推进，郑智拉人犯规                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
16'王林长传被赵旭日拦截                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
17'高拉特中路一顺，郜林弧顶外来一脚勺子吊射，球高度差了一点，顾超将球拿住                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
17'恒大淘宝在后场互传                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
18'张琳芃的长传，无人接应，曹轩的解围形成长传                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
18'阿甘对冯潇霆一对一了，阿甘变向过人时有身体对抗后倒地                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
18'裁判没有吹冯潇霆犯规                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
19'埃尔克森前场左路背身拿球后大范围转移，张琳芃没有将球拿到                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
19'曹轩左后场的长传，郑智头球顶给张琳芃                   16'有了这个进球，恒大进攻似乎也打开了，第16分钟郜林禁区外吊射，被顾超接住
