4'国际米兰球员佩里西奇大禁区外尝试左脚射门,可惜皮球高出右上角球门.给他传球的是什克里尼亚尔.                   1'第1分钟，坎德雷瓦与贝西诺踢墙配合，禁区右侧射门被封堵
36'进球啦！！！国际米兰球员博尔加-巴雷罗大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是坎德雷瓦. 维罗纳 0-1 国际米兰.                   36'国米第36分钟取得领先
38'维罗纳球员法瑞斯 拼抢犯规,对手获得控球权.                   36'国米第36分钟取得领先
38'坎德雷瓦为国际米兰在右路,赢得一个任意球.                   36'国米第36分钟取得领先
38'黄牌！维罗纳球员法瑞斯 因为恶意犯规,被主裁判出示黄牌.                   36'国米第36分钟取得领先
39'基恩为维罗纳赢得一个任意球.                   36'国米第36分钟取得领先
39'国际米兰球员加格里亚迪尼拼抢犯规,对手获得控球权.                   36'国米第36分钟取得领先
59'进球啦！！！维罗纳球员帕齐尼右脚射门,球从左下角飞进球门,球进了! 维罗纳 1-1 国际米兰.                   59'维罗纳第59分钟扳平比分
62'索普拉扬将球处理出底线,国际米兰获得角球.                   59'维罗纳第59分钟扳平比分
63'国际米兰球员维奇诺小禁区右侧头球,命中门柱横梁.给他传球的是坎德雷瓦.                   63'国米第63分钟几乎再度超出
63'切尔奇为维罗纳赢得一个任意球.                   63'国米第63分钟几乎再度超出
63'国际米兰球员什克里尼亚尔拼抢犯规,对手获得控球权.                   63'国米第63分钟几乎再度超出
64'维罗纳换人,Bruno Zuculini换下贝萨                   63'国米第63分钟几乎再度超出
66'维罗纳球员切尔奇拼抢犯规,对手获得控球权.                   63'国米第63分钟几乎再度超出
66'博尔加-巴雷罗为国际米兰赢得一个任意球.                   63'国米第63分钟几乎再度超出
66'尼古拉斯将球处理出底线,国际米兰获得角球.                   63'国米第63分钟几乎再度超出
50'维罗纳球员法瑞斯 拼抢犯规,对手获得控球权.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
50'德安布罗西奥为国际米兰赢得一个任意球.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
50'国际米兰球员维奇诺大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是佩里西奇.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
51'罗慕洛为维罗纳在右路,赢得一个任意球.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
51'国际米兰球员加格里亚迪尼拼抢犯规,对手获得控球权.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
51'黄牌！国际米兰球员加格里亚迪尼因为恶意犯规,被主裁判出示黄牌.                   49'4分钟后，坎德雷瓦左侧开出角球，厄尔托头球解围，佩里希奇禁区边缘迎球半凌空怒射入右上角，2比1
