1'上半场比赛开始！！                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
1'首先开球的是切尔西                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
2'曼联前场拿球传到了右路                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
2'达米安右侧横扫                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
2'被切尔西这边挡出边线                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
4'曼联左路起球送禁区                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
4'祖马头球顶出底线                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
4'曼联的角球机会                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
4'战术角球开出                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
4'边路传球被挡了出去                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
18'马塔前场拿球给到边路                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
18'马夏尔左路接球后自己直接打门了！！                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
18'库尔图瓦托了一下，球也是险些击中立柱                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
18'曼联的角球机会                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
18'布林德角球送后点                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
18'祖马头球先顶了出去                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
19'奥斯卡斜传球到禁区                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
19'这球并没有过顶                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
20'马塔中场接球给到边路                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
20'马塔今天也是被重点看防                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
21'奥斯卡中场断球后给到右路                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
21'威廉下底直接出了底线                   18'曼联第18分钟险些破门，马塔传球，马夏尔禁区左侧劲射，库尔图瓦飞身扑救后令皮球擦右侧立柱偏出
48'马蒂奇禁区外围打远射被后卫阻挡                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
48'祖马中场带球往前走                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
49'自己突然打门了！！                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
49'这球没有压住打高了                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
49'阿扎尔在场边开始热身了                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
49'马夏尔左路拿球，回敲                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
49'马塔这边再送直塞                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'这球没有传过去                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'鲁尼禁区外围直接打门！！                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'库尔图瓦飞身补救                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'二点，祖马将球先解围了                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'马夏尔左路接球后内切到了禁区                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
50'低射近角，球直接打在了边网上                   48'威廉3分钟后再开角球，马蒂奇的头球攻门也被德赫亚摘下
61'0-1！！！                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
61'林加德！！                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
61'此时此刻值得来杯嘉士伯                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
62'博斯维克-杰克逊左路传球送禁区，鲁尼前点垫了一下，林加德背身停球后直接转身抽射将球打进！！                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
62'库尔图瓦做出了判断，但是没有碰到                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
