7'尤文右路进攻，佩雷拉犯规了                   6'开场6分钟，埃弗拉左路低传，佩雷拉前点小角度推射被比萨里倒地封出
7'切沃前场任意球机会                   6'开场6分钟，埃弗拉左路低传，佩雷拉前点小角度推射被比萨里倒地封出
7'切沃右路的进攻，博格巴把球抢下来                   6'开场6分钟，埃弗拉左路低传，佩雷拉前点小角度推射被比萨里倒地封出
8'切沃进攻，达伊内利转移到门前，博塔头球高出横梁                   6'开场6分钟，埃弗拉左路低传，佩雷拉前点小角度推射被比萨里倒地封出
19'切沃队员也吃到了黄牌 苏卡诺维奇                   17'第17分钟，基耶利尼大脚解围，球靴一起飞出
19'这场裁判执法比较严厉                   17'第17分钟，基耶利尼大脚解围，球靴一起飞出
20'尤文前场拿球，达伊内利处理不好，球直接出了底线                   17'第17分钟，基耶利尼大脚解围，球靴一起飞出
20'尤文又获得角球                   17'第17分钟，基耶利尼大脚解围，球靴一起飞出
38'切沃有球员受伤倒地，埃夫拉撞到了弗雷的头                   38'第38分钟，尼古拉-弗雷与埃弗拉争顶头部相撞倒地，前者眉骨鲜血直流，在场上接受长时间治疗，戴上面具后抬出场外
40'弗雷一直倒地，恐怕不能坚持了                   38'第38分钟，尼古拉-弗雷与埃弗拉争顶头部相撞倒地，前者眉骨鲜血直流，在场上接受长时间治疗，戴上面具后抬出场外
41'弗雷血流如注，真的无法坚持了                   38'第38分钟，尼古拉-弗雷与埃弗拉争顶头部相撞倒地，前者眉骨鲜血直流，在场上接受长时间治疗，戴上面具后抬出场外
74'尤文左路传球到门前，博格巴打了一下被门将扑出，刚刚上场的利希施泰纳补射将球打进，锁定了胜局                   73'尤文第73分钟扩大比分，博格巴中路分球，刚出场的帕多因左路传中，博格巴距门9米处凌空一垫接着勾射被比萨里封出，利希施泰纳右侧补射得手，2比0，这是他本赛季意甲第3球，已超过上赛季进球数(2球)
87'尤文换人，佩佩换下佩雷拉                    87'第87分钟，佩利西耶传球，谢洛托禁区右侧距门8米处补射击中近门柱
87'切沃大脚长传，谢洛托的射门打在立柱上                   87'第87分钟，佩利西耶传球，谢洛托禁区右侧距门8米处补射击中近门柱
