3'AC米兰球员阿莱士被主裁判出示了一张黄牌.                   3'AC米兰第3分钟取得领先
4'进球啦！！！AC米兰球员梅内斯大禁区左侧左脚射门,球从右下角飞进球门,球进了! 拉齐奥 0-1 AC米兰.                   3'AC米兰第3分钟取得领先
7'AC米兰球员阿巴特拼抢犯规,对手获得控球权.                   5'AC米兰近5个联赛进球，有4个是在前10分钟打进，其中梅内包办3球
7'拉杜为拉齐奥在左路,赢得一个任意球.                   5'AC米兰近5个联赛进球，有4个是在前10分钟打进，其中梅内包办3球
17'拉齐奥球员坎德雷瓦大禁区中央右脚射门,被防守球员封堵.                   17'第17分钟，梅克斯解围高空球失误，克洛泽在门前10米处单刀左脚铲射被的哥-洛佩斯封出，坎德雷瓦补射又被封堵
19'AC米兰球员梅内斯手球犯规,对手获得球权.                   17'第17分钟，梅克斯解围高空球失误，克洛泽在门前10米处单刀左脚铲射被的哥-洛佩斯封出，坎德雷瓦补射又被封堵
20'拉齐奥球员克洛泽大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是巴斯塔.                   17'第17分钟，梅克斯解围高空球失误，克洛泽在门前10米处单刀左脚铲射被的哥-洛佩斯封出，坎德雷瓦补射又被封堵
20'拉齐奥球员克洛泽大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是坎德雷瓦.                   17'第17分钟，梅克斯解围高空球失误，克洛泽在门前10米处单刀左脚铲射被的哥-洛佩斯封出，坎德雷瓦补射又被封堵
25'洛佩兹将球处理出底线,拉齐奥获得角球.                   25'第25分钟，克洛泽分球，坎德雷瓦禁区右侧小角度推射被迭戈-洛佩斯单手一托击中近门柱弹出
25'拉齐奥球员帕罗洛大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡塔尔迪.                   25'第25分钟，克洛泽分球，坎德雷瓦禁区右侧小角度推射被迭戈-洛佩斯单手一托击中近门柱弹出
25'拉齐奥球员卡塔尔迪一脚直塞球给坎德雷瓦,但是边裁举旗显示后者已经越位.                   25'第25分钟，克洛泽分球，坎德雷瓦禁区右侧小角度推射被迭戈-洛佩斯单手一托击中近门柱弹出
