1'上半场比赛开始                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
1'蓝衣蓝裤的富力开球，从画面的左侧向右进攻                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
2'张耀坤后场过顶起高球，柏佳俊出脚将球解围                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
2'富力前场进攻，阿隆直塞球找前插的哈默德                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
2'哈默德转身接应，可惜球速太快，直接出了底线                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
3'李建滨后场和阿隆争顶，后者被吹压人犯规                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
3'吕征右路拿球，面对金洋洋的防守，沿着边线强突                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
4'吕征右脚传中，直接出了底线                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
4'莫雷诺后场抢断，拿球推进，米歇尔身后上抢，犯规                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
4'吕征右路的起球到禁区弧顶，恩里克头球后蹭                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
6'传球力量太大了，邱盛炯出击到大禁区，将球拦截                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
6'唐淼右路的界外球掷到中场，被莫雷诺头球解围出底线                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
7'边线                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
7'姜宁前场左路拿球，脚后跟过度球给到上来的姜至鹏                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
7'姜至鹏左路强突，左脚横传被苏祖挡出                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
8'申花中场传球失误，富力的反击                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
8'米歇尔斜塞给到哈默德，哈默德拿球反击                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
