3'摩西把球交给了马塔~~~                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
3'好机会啊！                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
3'切尔西传中到门前~登巴巴拍马赶到头球一顶！！！                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
3'可惜没顶正                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
3'曼联险些开场不久就丢球                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
4'豪放的Life:柠檬是该全面发展了，热火巴萨迷们最懂，嘿嘿---呵呵，以后恐怕跟大家见面的时间会越来越少啦                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
4'切尔西一开场就反客为主                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
5'奥斯卡低平球传中，被埃文斯大脚踢出了边线                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
5'米兰: 柠檬 越来越少是什么意思啊---就是字面的意思啊                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
6'刘占成丶:柠檬，你回我一次行不，please---你有什么疑问？                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
6'琼斯撞倒了路易斯，韦伯给吹了犯规                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
6'开场后这几分钟曼联貌似没怎么摸到球啊                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
6'这是曼联的主场？                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
6'马塔再次传中~~                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
46'传中~切尔西唯独漏了范佩西，不过他的头球顶得太正                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
46'下半场开始了                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
47'看起来切尔西要换上T9啊                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
47'贝尼特斯对于登巴巴的状态有些不满意                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
47'上半场他连续浪费了2个好机会                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
47'安德森大范围的长传转移~直接给到了切赫的怀中                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
48'切尔西放慢比赛节奏                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
48'打起了阵地战                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
48'曼联的防守挺严密的                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
48'马塔横传~科尔停球出现了失误                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
48'瓦伦西亚套边~传中！                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
49'范佩西又是处在了越位位置                   46'1分钟后，阿什利-科尔横传，拉米雷斯30码外远射偏出
14'奥斯卡发动反击~                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'曼联居然没人上抢！                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'奥斯卡一脚捅射！！！                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'林德加德扑了一下，球击中左侧立柱！                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'弹回之后林德加德赶紧把球抱住                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'曼联又差点丢球                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'范佩西！终于现身了                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
14'把球给了瓦伦西亚，曼联7号坐了球车，自己滑倒了                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
15'西超联赛: 柠檬，梅西今天会上场刷数据吗---什么叫刷数据？巴萨有没有梅西完全不一样，那可不是数据能够带来的改变                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'埃文斯在身后拉扯了登巴巴                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'登巴巴向韦伯进行了抗议                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'连贝尼特斯都坐不住了                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'但是韦伯示意比赛继续                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'曼联今天的防守显得有些松                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
16'让切尔西至少获得了两次破门机会                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
17'摩西~~~                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
17'迎球推射~~~踢上了高层看台                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
17'前面一连串的传接球都是世界水准...                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
17'可惜最后一脚成了xx水平                   14'第14分钟，兰帕德传球，奥斯卡长驱直入在禁区右侧16码处劲射，林德加德勉强扑挡，皮球打中右侧立柱弹回被没收
17'摩西~~~                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
17'迎球推射~~~踢上了高层看台                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
17'前面一连串的传接球都是世界水准...                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
17'可惜最后一脚成了xx水平                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
18'-待--續---:＠柠檬 弗格森赛前说要为阿森纳和热刺拿下切尔西，看这首发温格冒火不？---呵呵，要火                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
18'切尔西三番两次浪费机会                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
18'这才打了18分钟，就起码3个了                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
18'范佩西~~~内切之后的打门！很突然                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'不过也是踢得够偏的                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'感觉应该是没踢正脚上部位                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'琼斯~~~杀入禁区，传中！                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'划过门前，瓦伦西亚差一点点就赶到了                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'最后曼联禁区外的远射打在了对方后卫的身上                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
20'曼联在后面玩火~                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
20'要丢球啊                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
20'最后被切尔西逼得了一个角球                   17'第17分钟，菲尔-琼斯后场滑倒，拉米雷斯和马塔连续传球，摩西禁区边缘射门高出
19'不过也是踢得够偏的                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
19'感觉应该是没踢正脚上部位                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
19'琼斯~~~杀入禁区，传中！                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
19'划过门前，瓦伦西亚差一点点就赶到了                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
19'最后曼联禁区外的远射打在了对方后卫的身上                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
