3'奥格斯堡球员卡尔森-布拉克自摆乌龙,奥格斯堡 0-1 不来梅                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
3'不来梅球员埃利亚拼抢犯规,对手获得控球权.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
3'福格特为奥格斯堡赢得一个任意球.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
4'不来梅球员克罗斯拼抢犯规,对手获得控球权.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
4'哈恩为奥格斯堡在对方半场,赢得一个任意球.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
4'黄牌！不来梅球员克罗斯因为恶意犯规,被主裁判出示黄牌.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
6'奥格斯堡球员韦尔纳大禁区外左脚射门,命中门柱右侧立柱.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
6'奥格斯堡球员阿尔滕托普大禁区中央尝试右脚射门,可惜皮球偏出球门.                   3'开场3分钟，不来梅开出角球，卡尔森-布拉克自摆乌龙
49'不来梅球员迪桑托拼抢犯规,对手获得控球权.                   47'第47分钟，圣地亚哥-加西亚铲倒奥斯特若莱克，累计2张黄牌被罚下，不来梅只得10人应战
49'奥斯特若莱克为奥格斯堡赢得一个任意球.                   47'第47分钟，圣地亚哥-加西亚铲倒奥斯特若莱克，累计2张黄牌被罚下，不来梅只得10人应战
49'进球啦！！！奥格斯堡球员阿尔滕托普大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是哈恩. 奥格斯堡 2-1 不来梅.                   47'第47分钟，圣地亚哥-加西亚铲倒奥斯特若莱克，累计2张黄牌被罚下，不来梅只得10人应战
55'进球啦！！！奥格斯堡球员哈恩小禁区右侧左脚射门,球从中路飞进球门,球进了! 奥格斯堡 3-1 不来梅.                   55'第55分钟，不来梅门将沃尔夫和后卫施密茨配合失误，哈恩断球推进空门
57'不来梅球员沃尔夫一脚直塞球给迪桑托,但是边裁举旗显示后者已经越位.                   55'第55分钟，不来梅门将沃尔夫和后卫施密茨配合失误，哈恩断球推进空门
