1'上半场比赛开始                   1'双方第1分钟对抗激烈
1'上半场由切尔西中圈开球                   1'双方第1分钟对抗激烈
1'路易斯的长传，直接交给了对方门将特拉普                   1'双方第1分钟对抗激烈
1'长谷部诚控球交给了亚伯拉罕，回传给辛特艾格尔                   1'双方第1分钟对抗激烈
1'长传左侧，球出了边线                   1'双方第1分钟对抗激烈
2'现场观众挥舞着很多旗帜                   1'双方第1分钟对抗激烈
2'佩德罗右侧得不堪直传，阿斯皮利奎塔上来传中                   1'双方第1分钟对抗激烈
2'打在了科斯蒂奇身上出底线                   1'双方第1分钟对抗激烈
2'角球                   1'双方第1分钟对抗激烈
2'战术角球，威廉的传中，被科斯蒂奇挡出边线                   1'双方第1分钟对抗激烈
3'佩德罗接应转身交给坎特，远射，没有抽起来                   1'双方第1分钟对抗激烈
3'球出了底线                   1'双方第1分钟对抗激烈
3'今天萨里理了头发                   1'双方第1分钟对抗激烈
3'特拉普长传上来，给大了，凯帕拿球交给了阿斯皮利奎塔                   1'双方第1分钟对抗激烈
3'再送右侧                   1'双方第1分钟对抗激烈
4'被罗德断下解围                   1'双方第1分钟对抗激烈
4'路易斯控球                   1'双方第1分钟对抗激烈
4'长传右侧的佩德罗，传中了                   1'双方第1分钟对抗激烈
4'特拉普将球摘下                   1'双方第1分钟对抗激烈
4'特拉普在找人                   1'双方第1分钟对抗激烈
4'长传上来，达科斯塔头球一蹭，球出边线                   1'双方第1分钟对抗激烈
23'阿斯皮利奎塔掷界外球                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
23'交人了路易斯                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
23'分左侧的埃默森                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
23'吉鲁接应回一下，球被断了                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
