7'进球啦！！！多特蒙德球员格策大禁区中央头球,球从左下角飞进球门,球进了!助攻的是登贝莱. 华沙莱吉亚 0-1 多特蒙德.                   7'第7分钟，登贝莱左路传中，格策小禁区前头球破门
10'多特蒙德球员普利西奇一脚直塞球给格策,但是边裁举旗显示后者已经越位.                   7'第7分钟，登贝莱左路传中，格策小禁区前头球破门
17'射门!!!多特蒙德球员圭雷罗大禁区外左脚射门,被对方守门员横身扑出.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
17'射门!!!多特蒙德球员奥巴梅扬球门线跟前左脚射门,被对方守门员横身扑出.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
17'射门!!!多特蒙德球员施梅尔策球门线跟前左脚射门,被对方守门员横身扑出.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
17'进球啦！！！多特蒙德球员巴尔特拉球门线跟前右脚射门,球从中路飞进球门,球进了! 华沙莱吉亚 0-3 多特蒙德.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
19'施梅尔策将球处理出底线,华沙莱吉亚获得角球.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
20'多特蒙德球员格策大禁区中央右脚射门,被防守球员封堵.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
20'吉列尔梅为华沙莱吉亚赢得一个任意球.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
20'多特蒙德球员普利西奇拼抢犯规,对手获得控球权.                   17'第17分钟，格雷罗禁区弧内任意球射门被扑出，奥巴梅扬补射被扑挡后击中立柱弹回，施梅尔策小禁区前再射仍被门将顽强扑挡，前巴萨中卫巴尔特拉门线前破门
76'进球啦！！！多特蒙德球员卡斯特罗小禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是普利西奇. 华沙莱吉亚 0-5 多特蒙德.                   76'第76分钟，普利希奇禁区左侧传中远点，卡斯特罗小禁区右侧推射破门，5-0
78'皮什切克将球处理出底线,华沙莱吉亚获得角球.                   76'第76分钟，普利希奇禁区左侧传中远点，卡斯特罗小禁区右侧推射破门，5-0
78'华沙莱吉亚球员拉多维奇拼抢犯规,对手获得控球权.                   76'第76分钟，普利希奇禁区左侧传中远点，卡斯特罗小禁区右侧推射破门，5-0
78'莫尔为多特蒙德赢得一个任意球.                   76'第76分钟，普利希奇禁区左侧传中远点，卡斯特罗小禁区右侧推射破门，5-0
79'多特蒙德换人,金特尔换下魏格尔                   76'第76分钟，普利希奇禁区左侧传中远点，卡斯特罗小禁区右侧推射破门，5-0
