5'利物浦前场拿球分到右路                   5'第5分钟，斯特林禁区左侧的斜射偏出
5'边路的低平球送禁区内                   5'第5分钟，斯特林禁区左侧的斜射偏出
5'这球力量稍微大了                   5'第5分钟，斯特林禁区左侧的斜射偏出
5'库蒂尼奥插上也稍微慢了点                   5'第5分钟，斯特林禁区左侧的斜射偏出
6'禁区内，斯特林低射远角打偏                   5'第5分钟，斯特林禁区左侧的斜射偏出
7'伯恩利后场传球被利物浦球员挡了一下                   5'第5分钟，斯特林禁区左侧的斜射偏出
7'斯特林这边形成单刀                   5'第5分钟，斯特林禁区左侧的斜射偏出
7'但斯特林这球先越位了                   5'第5分钟，斯特林禁区左侧的斜射偏出
8'伯恩利前场拿球走中路                   5'第5分钟，斯特林禁区左侧的斜射偏出
8'队友背身接球没有拿好                   5'第5分钟，斯特林禁区左侧的斜射偏出
15'伯恩利的打门击中了立柱！！                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
15'因格斯前场右路背身拿球，转身后稍作调整低射击中立柱！                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
15'这球琼斯几乎是没有任何的反应                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
16'场边，伯恩利门将吉尔克斯在做准备                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
16'西顿这边出现了伤病吗？                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
16'伯恩利换人，西顿下，吉尔克斯上！                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
17'不好意思，是利物浦换人，琼斯下，米尼奥莱上！                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
17'利物浦这边的门将因为什么被换下了呢？                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
17'开场才15分钟左右，利物浦这边就换了一个门将                   14'伯恩利第14分钟险些破门，斯科特尔防守疏漏，因斯禁区边缘外低射打中左侧立柱弹回，巴恩斯禁区左侧补射偏出
21'控球上，伯恩利占49%                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
21'伯恩利中场踢了一脚                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
21'想打身后找因格斯                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
21'这球是没有送过去                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
22'米尼奥莱禁区内后场大脚又被因格斯挡了一下                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
22'好在球反弹后并没有奔向球门                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
22'利物浦中场拿球又被断                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
22'马内右路起球送禁区中路                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
22'队友原地起跳将球顶了出去                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
24'特里皮埃中场长传打身后                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
24'这球没有送过去                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
24'利物浦今天这条后防压力还是有的                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
24'利物浦右路下底到后点                   21'但他第21分钟的大脚解围被因斯挡回，险些送出机会
62'伯恩利中场长传打到前场                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
62'拜恩斯胸部停球后也是被上前防守的后卫干扰                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
62'利物浦进球了！！！                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
62'斯特林！！                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
63'利物浦中场头球顶给了一下，队友停球后外脚背传球，斯特林利用速度，插上后过顶门将推射将球打进！                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
63'[此时此刻值得来杯嘉士伯]                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
64'因格斯右路传球送到禁区内                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
64'阿菲尔德底线的打门被门将挡了出去                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
65'阿菲尔德左路拿球赢得角球机会                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
65'角球送前点，利物浦球员头球蹭了一下                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
65'球直接飞出了另一侧底线                   62'利物浦第62分钟打破僵局，库迪尼奥挑传，反越位成功的斯特林晃过出击的希顿后禁区左侧射入空门
