1'上半场比赛开始                   1'第1分钟两队很快便展开对攻
1'人和率先开球                   1'第1分钟两队很快便展开对攻
1'人和中场传球失误                   1'第1分钟两队很快便展开对攻
2'人和左路进攻，被舜天解围                   1'第1分钟两队很快便展开对攻
2'舜天后场犯规                   1'第1分钟两队很快便展开对攻
2'米西莫维奇任意球给到禁区，被张思鹏击出                   1'第1分钟两队很快便展开对攻
3'于睿右路突破传到中路被李昂挡出                   1'第1分钟两队很快便展开对攻
4'舜天后场直接开到前场，卡尔坦森没能拿到，球出了底线                   1'第1分钟两队很快便展开对攻
4'人和后场大脚给到前场左路，朱宝杰拿球没拿好出界了                   1'第1分钟两队很快便展开对攻
4'陈昌源后场犯规                   1'第1分钟两队很快便展开对攻
8'米西莫维奇任意球直接打门，球打在横梁上又打到张思鹏头上出去了                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
8'这脚打的漂亮啊                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
9'张思鹏手好像受伤了                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
9'人和角球开出，被舜天球员先顶到                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
10'人和左路进攻，朱宝杰左路传中被奥特森挡出                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
10'角球开出被挡出                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
10'米西莫维奇前场球丢了                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
11'舜天前场挑传禁区，卡尔坦森将球打进，越位了                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
11'回放显示，这个球是好球啊                   8'第8分钟，萨利霍维奇在禁区前沿被踢倒，米西莫维奇主罚任意球，右脚划出一道美妙弧线绕过人墙后直奔近角，皮球却击中横梁反弹在张思鹏头上变线出底线
15'舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门，球飞了                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
16'米西莫维奇直塞，被张思鹏拿到                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
16'萨利霍维奇的位置被卡住了                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
17'埃斯库德罗右路拿球                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
17'敲回来，吉翔上来传中被张烈拿到                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
18'陈杰右路直塞，出了底线                   15'第15分钟，舜天大脚给到右路，右路点回禁区前沿，埃斯库德罗直接凌空打门球飞
