3'可是裁判并没有表示，赫塔菲的反击                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
3'哈维-托雷斯中场直传球打后卫身后，拉莫斯转身回归将球拿到                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
3'厄齐尔前场拿球被瓦勒拉从身后踢倒在地                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
4'厄齐尔任意球开出，C罗禁区弧顶远射打高                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
4'阿尔比奥尔后场解围球打在上抢的赫塔菲球员身上出了边线                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
5'马塞洛前场接到C罗的传球进入禁区                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
5'马塞洛面对两名防守球员的强突，被拦截                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
5'赫塔菲右边路传中到禁区，拉菲塔跟进的一脚垫射打飞                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
6'皇马右路直传球找迪马利亚，阿莱克西斯上抢将球碰出边线                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
6'阿隆索禁区外的斜传球找前插的伊瓜因                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
6'伊瓜因在对方首位干扰下没能拿到球                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
16'马塞洛禁区外的传中，再次被赫塔菲球员化解                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
16'C罗左路拿球面对巴拉达的防守横拨给到马塞洛                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
17'厄齐尔推射空门竟然打在横梁                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
17'皇马前场进攻，厄齐尔和C罗撞墙配合后进入禁区，C罗下底面对莫亚的封堵，横传球到门前，厄齐尔推射空门击中横梁弹出                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
