1'上半场比赛开始                   1'第1分钟，主场作战的都灵与尤文对攻
1'尤文率先开球                   1'第1分钟，主场作战的都灵与尤文对攻
1'皮尔洛给到左路                   1'第1分钟，主场作战的都灵与尤文对攻
1'尤文后场长传被断了                   1'第1分钟，主场作战的都灵与尤文对攻
2'皮尔洛直塞，莫拉塔外围远射，高了                   1'第1分钟，主场作战的都灵与尤文对攻
2'都灵右路进攻，起球传中被奥邦纳挡出底线                   1'第1分钟，主场作战的都灵与尤文对攻
3'角球开出，第一点被尤文解围，继续角球                   1'第1分钟，主场作战的都灵与尤文对攻
3'第二个角球，被尤文解围                   1'第1分钟，主场作战的都灵与尤文对攻
3'尤文反击，比达尔直塞，莫拉塔没有追到被门将没收了                   1'第1分钟，主场作战的都灵与尤文对攻
3'都灵后场控球                   1'第1分钟，主场作战的都灵与尤文对攻
4'大脚给到前场被防守球员顶回                   1'第1分钟，主场作战的都灵与尤文对攻
4'尤文断球反击，莫拉塔传球给右路，没有队友接应                   1'第1分钟，主场作战的都灵与尤文对攻
8'洛佩斯做球，夸利亚雷拉直接打门，被布冯倒地没收                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
8'皮尔洛给到后场，奥邦纳给到左路                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
9'奥邦纳每次拿球，现场球迷就会嘘声四起啊                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
9'莫拉塔前场拼抢犯规了                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
10'帕德利大脚开到前场                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
10'佩雷斯连续突破两名防守球员，右路传中，没有控制好，直接出了底线                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
11'尤文中场控球被都灵抢断                   8'第8分钟，马克西-洛佩斯回做，夸利亚雷拉在门前20米处低射被布冯没收
20'皮尔洛给到右路，比达尔直塞                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
20'右路传中，被断了                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
20'佩雷斯右边上来了，卡杜里传中，被防守球员顶在都灵队员身上                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
21'都灵队员在禁区内拼抢犯规了                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
21'比达尔长传，莫拉塔拿球给到右路                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
21'利希施泰纳再传中，马特里打门踢空了                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
22'尤文禁区内是一片乱战啊                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
22'夸利亚雷拉倒地打门，被封堵了                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
23'都灵断球反击，佩雷斯长传给到左路，直接出了底线                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
23'皮尔洛后场控球，直塞被断了                   20'第20分钟，佩雷拉禁区右侧传中击中莫雷蒂肘部，主裁判塔利亚文托没有中断比赛
35'皮尔洛任意球直接射门，皮球越过人墙，直奔球门右上角                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
35'皮球击中横梁下沿，入网，尤文1-0                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
36'这个位置的定位球，对于皮尔洛来说就像点球                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
36'夸利亚雷拉禁区拿球打门，越位了                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
37'尤文在取得进球后，进攻显得并不着急                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
37'继续后场控球                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
37'都灵球员也不上来逼抢                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
38'佩雷拉禁区前右脚打门，被挡出                   35'但尤文第35分钟取得领先，加齐放倒马特里，皮尔洛在门前21米处主罚任意球越过人墙击中横梁下沿弹过门线，1比0
40'佩雷斯拿球，传球打在尤文队员身上出了边线                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
41'皮尔洛禁区内传球失误了，还好都灵球员没有控制好                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
41'都灵右路传中，直接出了底线                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
42'莫拉塔中场顶球没有顶到，斯图若多犯规了                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
43'佩雷斯大脚开到前场，被奥邦纳解围了                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
43'利希施泰纳带球到前场，没有好的机会，传了回来                   40'第40分钟出现搞笑一幕，布鲁诺-佩雷斯边线铲球放倒阿莱格里
