1'上半场比赛开始！！                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
1'曼城后场长传                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
2'阿圭罗禁区内接球犹豫了一下                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
2'让我们看下比赛的首发                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
3'桑德兰(4-2-3-1)：1-皮克福德；2-比利-琼斯，23-科内，16-奥谢，3-奥维耶多；24-吉布森，17-恩东；7-拉尔森，9-博里尼，44-贾努扎伊；18-迪福                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
3'曼城(4-1-4-1)：13-卡巴列罗；3-萨尼亚，24-斯通斯，11-科拉罗夫，22-克里希；25-费尔南迪尼奥；19-萨内，42-亚亚-图雷，21-席尔瓦，7-斯特林；10-阿圭罗                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'本场比赛席尔瓦、亚亚-图雷、科拉罗夫、萨尼亚和卡巴列罗轮换出场，德布劳内进入替补席                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'曼城近8战桑德兰取得7胜1平                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'桑德兰右路下底给到禁区                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'卡巴列罗出击将球拿到                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'曼城这边有球员受伤                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
4'队医在场边进行查看                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
20'立柱！！                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
20'迪福禁区弧顶拿球，转身抽射击中立柱！！                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
20'桑德兰这边跟进的补射将球打偏                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
20'桑德兰这边险些取得进球啊                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
21'比利-琼斯边路挑球过人                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
21'这球给了一个角球                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
22'角球送后点                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
22'萨尼亚头球解围出来                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
22'曼城这边反击的机会                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
22'萨内边路突破做撞墙                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
22'底线附近没有将球送出来啊                   20'桑德兰第20分钟险些破门，博里尼传球，迪福25码处劲射憾中左侧立柱弹回，但博里尼近距离头球补射偏出
42'曼城后场险些丢球啊                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
42'曼城这边反击机会                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
42'0-1！！！                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
42'阿圭罗！！！                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
43'萨尼亚右路低平球给到前点，阿圭罗小禁区内推射近角破门！！                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
