2'利物浦获得前场中路的任意球机会                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
2'米尔纳任意球斜传左路给到莫雷诺                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
2'莫雷诺左路传中到后点，直接被诺维奇球员头球解围                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
3'红军队长亨德森因为周五训练时受伤，缺席本场比赛                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
3'米尔纳中场拿球，遭遇夹击，球丢啦                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
3'杰罗姆拿球反击，米尔纳再抢，身后直接拦腰抱住了杰罗姆                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
3'米尔纳被主裁判出示了黄牌警告！！！                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
4'亨德森缺席，米尔纳出任红军本场队长，开局2分钟就黄袍加身了                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
4'利物浦前场进攻，斯图里奇脚后跟分球给到跟进的米尔纳                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
4'米尔纳趟球遭遇干扰，摔倒在禁区                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
5'裁判并未表示，球被诺维奇球员解围                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
5'米尔纳的倒地晚了一点，不过再早估计不到禁区里啦                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
18'但是这次裁判只是口头警告了特泰，并未出示黄牌                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
18'莫雷诺左路抢断，内切，倒三角回传禁区弧顶                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
19'米尔纳跟进拿球，一拨，拔脚怒射，被诺维奇回防球员挡出                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
19'米尔纳这次打门，非常可惜，无人防守的起脚啊                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
19'埃姆雷-詹右路拿球，强突后横传找米尔纳                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
20'米尔纳停球受到干扰，摔倒前再将球分边找埃姆雷-詹                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
20'可惜球传的有点大，先出了底线                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
21'埃姆雷-詹右路拿球，带过中线，直塞找斯图里奇                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
21'斯图里奇停球内切，遭遇两人夹击，球丢啦                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
21'受伤回归的斯图里奇开场表现的很活跃，但和队友的配合还需好好磨合                   18'利物浦第18分钟组织起首次有威胁攻势，莫雷诺内切传球，但无人防守的米尔纳禁区边缘射门被布雷迪挡出
34'斯图里奇停球，控制一下，直塞再找本特克                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
34'传球力量大了点，被拉迪出击直接没收                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
34'诺维奇中场失误，利物浦的反击                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
34'库蒂尼奥直塞给到斯图里奇，斯图里奇停球，禁区线上起脚抽射，被后卫挡出                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
35'卢卡斯中路拿球，起球到禁区                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
35'库蒂尼奥根基的甩头攻门，差了一点点啊                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
36'上半场比赛35分钟，比分依旧是0-0                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
36'惠塔克右路拿球，横传禁区弧顶找多朗斯                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
36'斯科特尔出来，一个滑铲，将球从多朗斯脚下破坏                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
37'萨科中线位置拿球，斜塞左路给到莫雷诺                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
37'莫雷诺内切，再横传给到米尔纳                   34'第34分钟，拉塞尔-马丁失误，卢卡斯送出直传，斯图里奇禁区边缘的左脚劲射被鲁迪扑出
48'杰罗姆拿球，面对出击的库蒂尼奥，趟球下底，再传门前，被挡出                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
48'雷蒙德前场拿球，横切，起脚远射，打飞                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
49'利物浦进球啦！！！                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
49'此时此刻值得来杯嘉士伯！！！！                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
49'替补登场第一次触球的英斯单刀推射打进                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
50'诺维奇中场失误，莫雷诺过顶球打身后，英斯前插得球，单刀赴会，面对出击的拉迪，左脚推射远角，打进！！！                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
51'埃姆雷-詹中场拿球，被上抢的多朗斯掀翻在地                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
51'英斯刚刚的进球，是其本赛季个人第一个进球                   48'利物浦第48分钟打破僵局，拉塞尔-马丁后场传球失误，莫雷诺直传，因斯禁区左侧12码处射入远角
61'萨科后场拿球，雷蒙德逼抢，双方无人接应，两人靠着聊天了啊                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
61'诺维奇前场进攻，赢得右侧角球机会                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
61'诺维奇进球啦！！！                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
61'此时此刻值得来杯嘉士伯！！！！                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
