3'张伯伦掷界外球                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
3'传中被顶出                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
4'穆斯塔菲长传上来，被断了                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
4'斯托克城又来了                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
4'赫塞的传中，球被赫塞得到                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
5'科拉西纳茨左路拿球转移给了右路的穆斯塔菲                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
5'交给科拉西纳茨，直传，拉卡泽特得球，趟大了                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
5'弗莱彻接应                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
5'祖玛后场斜长传交给了左路的赫塞                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
6'挑传，直接交给了切赫                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
6'维尔贝克中路带球，趟大了                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
6'祖玛右路得球交给沙奇里，在观察                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
6'转移左路的皮特尔斯                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
47'厄齐尔左路得球，回传给科拉西纳茨                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'转移右路的张伯伦                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'下底传中，肖克罗斯头球顶出底线                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'扎卡发角球，被肖克罗斯顶出                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'张伯伦挑传禁区，布特兰德飞身击球                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'裁判吹了拉姆塞抬脚过高                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'布特兰德发门球                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'上半场比赛结束了！                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'下半场比赛开始                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'下半场由斯托克城中圈开球                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'扎卡带球，短传不好                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
47'赫塞中路带球与舒波莫廷做二过一配合，赫塞突到禁区左侧，一脚斜射，球进了！                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'送出助攻的是贝拉希诺！                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'赫塞中路带球交给贝拉希诺，贝拉希诺踩单车后直传，赫塞斜插上来左脚小角度打门球进！                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
48'阿森纳陷入苦战了                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'维尔贝克分给贝莱林，回给维尔贝克，直传被肖克罗斯破坏                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'舒波莫廷右路得球回传给贝拉希诺                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'突直，被贝莱林抢断                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'拉姆塞左路拿球，回传给科拉西纳茨                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'转移给穆斯塔菲                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
49'扎卡接应回传                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
50'穆斯塔菲回传给切赫                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
50'穆斯塔菲交给蒙雷亚尔                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
50'阿森纳不断地倒脚                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
50'维尔贝克拿球斜塞，被科拉西纳茨将球控制                   47'斯托克城第47分钟打破僵局，贝拉希诺直传，赫塞禁区左肋小禁区前第一时间低射远角入网
67'阿森纳有机会                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
67'维尔贝克与吉鲁做二过一配合突到禁区内打门被布特兰德扑出底线                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
