4'富力获得前场中路的任意球机会                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
4'任意球斜传禁区，埃弗拉的解围差点乌龙，高出横梁出底线                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
4'富力获得左侧角球机会，开出到禁区，第一点被上港球员解围                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
5'唐淼拿球，再传禁区，王燊超将球挡出边线                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
5'富力前场再攻，卢琳停球转身，接着起脚打门                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
5'被上来的上港球员伸脚挡出了底线，角球                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
5'角球开出到前点，于海头球解围                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
6'卢琳前场拿球，强突遭遇夹击，脚后跟给到姜宁                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'姜宁拿球顺势一趟，起脚打门，被防守球员挡出底线                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'富力再次获的左侧角球机会，汪嵩主罚                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'这是富力开场获得的第三个角球机会                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'汪嵩角球开出到后点，王燊超头球解围出边线                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'姜宁拿球顺势一趟，起脚打门，被防守球员挡出底线                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
7'富力再次获的左侧角球机会，汪嵩主罚                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
