4'佩雷拉中路突破分边，特维斯一脚打门被破坏出底线                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
4'角球开出到中路，被奥卡卡解围                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
5'桑普多利亚反击，尤文回传失误                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
5'桑普多利亚一脚射门很有威胁                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
5'莫拉塔左路突破出了边线                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
7'佩雷拉右路起球，莫拉塔中路冲顶偏出                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
7'尤文后场倒脚转移到左路                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
7'桑普多利亚断球                   4'开场4分钟，佩雷拉突入禁区回做，特维斯左侧距门14米处推射被罗梅罗封出近角
47'佩雷拉右路杀入禁区一脚劲射，稍稍高出                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
47'这个球力量有些打                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
47'比达尔中场拿球给左路                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
48'比达尔背后铲人犯规吃到黄牌                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
49'桑普右路进攻吊向禁区                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
50'佩雷拉一脚射门高出横梁                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
50'球进了！桑普扳平比分                   47'2分钟后，比达尔传禁区右侧，莫拉塔在门前13米处转身大力斜射被罗梅罗封出底线
22'尤文前场进攻，倒三角传球                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
22'禁区右侧特维斯拿球，右侧传中中路莫拉塔突然杀出，裁判哨响！！还是越位了                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
23'今天尤文两个边路相当活跃                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
24'埃弗拉拿球给了博格巴                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
24'博格巴一对二，没突进去                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
24'尤文现在打的很放松                   21'第21分钟，马尔基西奥禁区前沿左脚大力抽射被罗梅罗托出横梁
37'桑普多利亚角球机会                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'奥卡卡角球开出，门前连续两脚打门，最后被布冯得到                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'桑普多利亚的定位球很有威胁                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'特维斯直接一脚射门打的太正了                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'雷吉尼左路拿球                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'桑普左路一打三没过去                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'桑普来进攻，打到右侧边路里佐                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'给禁区里的奥卡卡，球被奥邦纳挡出底线                    37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'卡恰托雷推射，打穿了后防线，布冯把球扑出，埃德尔上抢再射，越位了                    37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'桑普多利亚奥卡卡一脚射门偏出                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'桑普前场进攻，布冯出击到禁区将球破坏                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
37'比达尔右路拿球回敲                   37'第37分钟，卡恰托雷外围低射被莫拉塔伸腿挡了一下，布冯抢在对方补射前将球没收
49'桑普右路进攻吊向禁区                   49'第49分钟，佩雷拉禁区左侧斜射被罗梅罗飞身封出
50'佩雷拉一脚射门高出横梁                   49'第49分钟，佩雷拉禁区左侧斜射被罗梅罗飞身封出
50'球进了！桑普扳平比分                   49'第49分钟，佩雷拉禁区左侧斜射被罗梅罗飞身封出
51'下半场替补上场的加比亚迪尼禁区线上左脚打门直挂死角                   49'第49分钟，佩雷拉禁区左侧斜射被罗梅罗飞身封出
51'这是尤文联赛中所丢的第6个球                   49'第49分钟，佩雷拉禁区左侧斜射被罗梅罗飞身封出
56'现在尤文打的有些着急了                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
56'桑普小角度传球横扫门前                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
57'布冯惊起一身冷汗                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
57'桑普角球开出，禁区门前出现混战                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
58'尤文断球反击，被加比亚迪尼战术犯规                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
58'加比亚迪尼吃到黄牌                   56'第56分钟，特维斯接应莫拉塔分球，禁区左侧小角度低射被罗梅罗没收
75'皮尔洛上场了                   74'第74分钟，佩雷拉禁区左侧传中，比达尔后点头球落在球网上方
76'桑普中场进攻，一脚射门偏出                   74'第74分钟，佩雷拉禁区左侧传中，比达尔后点头球落在球网上方
77'桑普多利亚球员埃德尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门                   74'第74分钟，佩雷拉禁区左侧传中，比达尔后点头球落在球网上方
77'尤文左路角球机会                   74'第74分钟，佩雷拉禁区左侧传中，比达尔后点头球落在球网上方
83'埃弗拉45度传中，比达尔直接头球攻门，没有力量啊                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
84'加比亚迪尼一脚势大力沉的射门被布冯扑出                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
84'补防对于队友的防守十分恼火                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
85'尤文右路起球被桑普破坏                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
86'比赛剩下的时间不多了                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
86'尤文换人了，乔文科换下特维斯                   83'第83分钟，埃弗拉左路起球，比达尔头球落入罗梅罗怀中
85'尤文右路起球被桑普破坏                   85'加比亚迪尼第85分钟几乎梅开二度
86'比赛剩下的时间不多了                   85'加比亚迪尼第85分钟几乎梅开二度
