1'上半场比赛开始！                   1'曼城第1分钟控制局面
1'上半场比赛由曼城率先中圈开球                   1'曼城第1分钟控制局面
1'曼城身穿浅蓝色比赛服，而埃弗顿是深蓝色球衣白色短裤                   1'曼城第1分钟控制局面
2'埃弗顿中场控球，拜恩斯直塞，背身接应的卢卡库横敲                   1'曼城第1分钟控制局面
2'球快要出边线了，但纳瓦斯却伸脚却捞，将球碰出边线                   1'曼城第1分钟控制局面
2'奈史密斯的传球被德米凯利斯拦截                   1'曼城第1分钟控制局面
3'德米凯利斯交给萨巴莱塔，中路过渡时失误                   1'曼城第1分钟控制局面
3'麦吉迪的直塞，卢卡库背身接应转身，球被回追的费尔南多拦截                   1'曼城第1分钟控制局面
4'导播把镜头对准了今天进入替补席的阿圭罗                   1'曼城第1分钟控制局面
14'贾吉尔卡后场停球过大，被席尔瓦断下                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
15'席尔瓦带两步斜向一顺，跟进的纳斯里打门偏出球门右立柱                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
16'巴里左路的斜传禁区右侧，麦吉迪胸部传球被曼加拉解围                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
16'贝西奇右路得球传中，乔哈特双龙出海将球击出禁区                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
17'奈史密斯抢第二点被费尔南多绊倒                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
17'埃弗顿获得一个前场中路偏右，距离球门30米的任意球机会                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
17'拜恩斯的任意球打门也是被人墙挡住                   14'第14分钟，还是席尔瓦传球，纳瓦斯禁区右侧的低射偏出远角
43'席尔瓦分边右路，纳瓦斯利用萨巴莱塔跑位分散对方注意力后，由纳瓦斯下底传中被贾吉尔卡解围                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
44'卢卡库前场趟过德米凯利斯推射被乔哈特用腿挡出                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
44'巴克利大力远射打在横梁上                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
45'埃弗顿回头获得一个前场右路的角球机会                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
45'纳瓦斯角球发得比较低，被对方头球解围                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
46'在另外一场英超比赛中，切尔西暂时1：0领先纽卡斯尔                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
46'下半场比赛开始了！                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
46'埃弗顿获得一个前场左路的任意球机会                   43'埃弗顿第43分钟险些破门，科尔曼传球，卢卡库禁区右侧甩开曼加拉的射门被乔-哈特扑出
57'席尔瓦任意球送到后点，斯通斯头球后中间蹭解围                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
58'卢卡库左路带球推进了一大段距离面对曼加拉左右晃动后加速压过了曼加拉小角度打门被乔哈特挡出底线                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
58'科尔曼的角球发到后点，曼加拉头球解围                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
59'慢镜来看曼加拉头球解围的时候先推人犯规，不过裁判没有吹                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
59'纳斯里左路来了，往禁区里抹，被麦吉迪摁倒                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
60'曼城再次获得一个对方禁区左边缘的任意球机会                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
60'纳斯里任意球直接旋向门前，米拉拉斯双龙出海将球打出禁区                   57'第57分钟，巴克利传球，卢卡库强突禁区左侧的射门被乔-哈特挡出远角
70'拜恩斯任意球直接打向球门，乔哈特将球接住，被奈史密斯撞一下球脱手，贾吉尔卡铲射入网，但当然是不算的                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
71'奈史密斯冲撞门将犯规                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
71'很快曼城已经攻到对方禁区前沿，阿圭罗转身打门打偏了                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
71'科尔曼套上得球挑球过人，挑大了，球出底线                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
