52'射门!!!乌迪内斯球员迪纳塔莱大禁区中央右脚射门,被对方守门员横身扑出.                   52'第7分钟，阿兰禁区弧顶弧线球偏出右门柱
53'乌迪内斯球员B-费尔南德斯大禁区外右脚射门,被防守球员封堵.给他传球的是迪纳塔莱.                   52'第7分钟，阿兰禁区弧顶弧线球偏出右门柱
54'乌迪内斯球员阿兰拼抢犯规,对手获得控球权.                   52'第7分钟，阿兰禁区弧顶弧线球偏出右门柱
54'帕多因为尤文图斯赢得一个任意球.                   52'第7分钟，阿兰禁区弧顶弧线球偏出右门柱
64'乌迪内斯球员加-希尔瓦拼抢犯规,对手获得控球权.                   64'第19分钟，略伦特护球做给特维斯，特维斯在门前13米处低射偏出左门柱
64'利希施泰纳为尤文图斯在右路,赢得一个任意球.                   64'第19分钟，略伦特护球做给特维斯，特维斯在门前13米处低射偏出左门柱
64'尤文图斯球员洛伦特大禁区左侧左脚射门,被防守球员封堵.给他传球的是马尔基西奥.                   64'第19分钟，略伦特护球做给特维斯，特维斯在门前13米处低射偏出左门柱
67'乌迪内斯球员巴斯塔大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是赫塔奥.                   64'第19分钟，略伦特护球做给特维斯，特维斯在门前13米处低射偏出左门柱
81'尤文图斯球员夸利亚雷拉大禁区左侧左脚射门,被防守球员封堵.给他传球的是博格巴.                   81'第36分钟，特维斯变线突入禁区右侧，在门前14米处大力斜射被布尔基奇封出远门柱
81'巴度将球处理出底线,尤文图斯获得角球.                   81'第36分钟，特维斯变线突入禁区右侧，在门前14米处大力斜射被布尔基奇封出远门柱
82'尤文图斯球员特维斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是马尔基西奥.                   81'第36分钟，特维斯变线突入禁区右侧，在门前14米处大力斜射被布尔基奇封出远门柱
83'乌迪内斯球员加-希尔瓦拼抢犯规,对手获得控球权.                   81'第36分钟，特维斯变线突入禁区右侧，在门前14米处大力斜射被布尔基奇封出远门柱
83'比达尔为尤文图斯在对方半场,赢得一个任意球.                   81'第36分钟，特维斯变线突入禁区右侧，在门前14米处大力斜射被布尔基奇封出远门柱
50'乌迪内斯球员B-费尔南德斯拼抢犯规,对手获得控球权.                   50'下半时开始5分钟，特维斯左侧开出角球，略伦特头球蹭向远角，布尔基奇球门线上救险
50'基耶利尼为尤文图斯在左路,赢得一个任意球.                   50'下半时开始5分钟，特维斯左侧开出角球，略伦特头球蹭向远角，布尔基奇球门线上救险
50'尤文图斯球员帕多因大禁区外右脚射门,被防守球员封堵.                   50'下半时开始5分钟，特维斯左侧开出角球，略伦特头球蹭向远角，布尔基奇球门线上救险
52'射门!!!乌迪内斯球员迪纳塔莱大禁区中央右脚射门,被对方守门员横身扑出.                   50'下半时开始5分钟，特维斯左侧开出角球，略伦特头球蹭向远角，布尔基奇球门线上救险
53'乌迪内斯球员B-费尔南德斯大禁区外右脚射门,被防守球员封堵.给他传球的是迪纳塔莱.                   50'下半时开始5分钟，特维斯左侧开出角球，略伦特头球蹭向远角，布尔基奇球门线上救险
